"","Team","Def_Tot","Def_Pass","Def_Rush","Def_Pts","Off_Tot","Off_Pass","Off_Rush","Off_Pts","Pts_Diff"
"1","Air Force Falcons",360.9,244,116.9,25.8,415,131.3,283.7,30.3,4.5
"2","Akron Zips",391.3,191.1,200.2,27.2,294.4,199.2,95.3,18.9,-8.3
"3","Alabama Crimson Tide",295.4,178.4,117,14.8,522,323.6,198.4,45.6,30.8
"4","Appalachian State Mountaineers",279.3,148.1,131.3,15.7,431,190.6,240.4,37.3,21.6
"5","Arizona State Sun Devils",401.8,238.7,163.1,25.1,416.7,232.7,184,29.9,4.8
"6","Arizona Wildcats",432,269.5,162.5,32.6,457.7,255.3,202.4,31.3,-1.3
"7","Arkansas Razorbacks",413.2,245.3,167.8,34.8,335.7,192.3,143.4,21.7,-13.1
"8","Arkansas State Red Wolves",376.6,175.9,200.7,26.4,466.2,281.5,184.8,30.3,3.9
"9","Army Black Knights",293.5,185.3,108.2,18,392.5,80.1,312.5,32.8,14.8
"10","Auburn Tigers",363.1,222.4,140.7,19.6,389.9,222.5,167.5,30.9,11.3
"11","Ball State Cardinals",450.3,210.4,239.8,32.4,408.6,252.9,155.7,24.2,-8.2
"12","Baylor Bears",413.3,238.4,174.8,31.2,459.1,290,169.1,29.5,-1.7
"13","Boise State Broncos",355.9,233,122.9,22.1,459.5,292,167.5,35.4,13.3
"14","Boston College Eagles",396.2,247.9,148.3,25.7,404.3,215.3,189.1,32,6.3
"15","Bowling Green Falcons",448.1,167.6,280.5,40,355.3,238.7,116.6,24.3,-15.7
"16","Buffalo Bulls",349.8,184.5,165.3,24.7,414.5,225.4,189.1,34.6,9.9
"17","BYU Cougars",325,195.6,129.4,21.7,364.9,211.8,153.2,27.2,5.5
"18","California Golden Bears",319.4,187.1,132.3,21.3,343.5,186.2,157.3,21.5,0.199999999999999
"19","Central Michigan Chippewas",355.3,150.7,204.7,27.3,255.2,134.5,120.7,15,-12.3
"20","Charlotte 49ers",337.3,231.7,105.7,26.6,339.4,179.5,159.9,21.7,-4.9
"21","Cincinnati Bearcats",290.6,188.2,102.4,16.1,458.5,219,239.5,34.9,18.8
"22","Clemson Tigers",276.7,183.8,92.9,13.7,527.2,279,248.2,44.3,30.6
"23","Coastal Carolina Chanticleers",450.8,206.4,244.4,33.2,379.3,180.7,198.7,26.7,-6.5
"24","Colorado Buffaloes",380.3,234.7,145.6,27.3,392.6,249.6,143,27.1,-0.199999999999999
"25","Colorado State Rams",451.9,232.4,219.5,36.8,410.5,304.9,105.6,22.8,-14
"26","Duke Blue Devils",419.4,197.1,222.3,27.4,405.7,246.1,159.6,29.5,2.1
"27","East Carolina Pirates",439.8,270.1,169.8,37.3,414.4,284.8,129.7,22.8,-14.5
"28","Eastern Michigan Eagles",352.9,160,192.9,22,372.1,226.7,145.4,27,5
"29","Florida Atlantic Owls",420.1,236.8,183.3,31.8,478.8,237,241.8,31.1,-0.699999999999999
"30","Florida Gators",339.1,173.1,166,20.4,426.7,213.5,213.2,35,14.6
"31","Florida International Panthers",386.7,188.3,198.4,24.7,420.8,245.7,175.1,34.6,9.9
"32","Florida State Seminoles",416.3,268.7,147.7,31.5,361.2,270.1,91.1,21.9,-9.6
"33","Fresno State Bulldogs",323.8,194.1,129.8,13.7,421.5,267.1,154.4,34.6,20.9
"34","Georgia Bulldogs",311.2,180.5,130.6,18.5,464.9,226.1,238.8,37.9,19.4
"35","Georgia Southern Eagles",361.8,217.6,144.2,21.6,345.2,79,266.2,30.5,8.9
"36","Georgia State Panthers",489.5,238.5,251,37.4,378.2,206.8,171.4,23.9,-13.5
"37","Georgia Tech Yellow Jackets",367.8,217.9,149.8,28.9,408.8,83.8,325,33.6,4.7
"38","Hawai'i Rainbow Warriors",438.7,231.2,207.5,35.4,419.9,310.3,109.6,30.8,-4.6
"39","Houston Cougars",488.9,291.4,197.5,34.4,512.5,295.5,217.1,43.9,9.5
"40","Illinois Fighting Illini",508.3,263.1,245.3,39.4,408.7,165.7,243,26,-13.4
"41","Indiana Hoosiers",423.8,240.6,183.2,29.9,415.2,257.8,157.3,26.4,-3.5
"42","Iowa Hawkeyes",289.6,186.8,102.8,17.4,375,226.6,148.4,31.2,13.8
"43","Iowa State Cyclones",351,228.8,122.3,22.5,371,240.9,130.1,26.8,4.3
"44","Kansas Jayhawks",418.5,246.8,171.8,30,350.8,192.3,158.6,23.8,-6.2
"45","Kansas State Wildcats",403.4,245.8,157.7,25.4,344.7,162.1,182.6,22.5,-2.9
"46","Kent State Golden Flashes",467.3,247,220.3,36.7,383.6,211.9,171.7,23.9,-12.8
"47","Kentucky Wildcats",326.3,181.3,144.9,16.3,360.8,161.5,199.4,26.6,10.3
"48","Liberty Flames",484.8,262.9,221.8,36.8,422.9,261.5,161.4,33.3,-3.5
"49","Louisiana Ragin' Cajuns",432.2,222.3,209.8,33.7,424.3,205.6,218.7,31.9,-1.8
"50","Louisiana Tech Bulldogs",350.9,193.6,157.3,23.8,379.3,249.7,129.6,24.7,0.899999999999999
"51","Louisville Cardinals",483.5,206.3,277.3,44.1,352.6,211.1,141.5,19.8,-24.3
"52","LSU Tigers",346.1,206.8,139.3,20.9,402.1,228.5,173.6,32.4,11.5
"53","Marshall Thundering Herd",335.6,231.7,103.9,22,393.6,228.1,165.5,28.2,6.2
"54","Maryland Terrapins",390.4,206.5,183.9,28.7,371.4,141.3,230.2,28.5,-0.199999999999999
"55","Memphis Tigers",420.4,250.8,169.5,31.5,523.1,243.2,279.9,42.9,11.4
"56","Miami (OH) RedHawks",368.2,208.5,159.7,25.5,372,212.3,159.8,28.1,2.6
"57","Miami Hurricanes",268.3,140.8,127.5,18.2,358.8,167.3,191.5,28.8,10.6
"58","Michigan State Spartans",311.5,230.2,81.3,18,342.1,217.2,124.8,18.7,0.699999999999999
"59","Michigan Wolverines",262.5,145.9,116.6,17.6,419.5,215.7,203.8,35.2,17.6
"60","Middle Tennessee Blue Raiders",372.9,213.1,159.8,25.3,388.7,260.7,128,28,2.7
"61","Minnesota Golden Gophers",394.3,223.7,170.7,27.9,379.6,208.8,170.8,28.9,1
"62","Mississippi State Bulldogs",268.4,164.2,104.3,12,397.4,173.8,223.6,28.5,16.5
"63","Missouri Tigers",379,256.1,122.9,24.4,481.8,279.4,202.4,36.6,12.2
"64","Navy Midshipmen",426.4,234.8,191.5,33.5,348.9,72.8,276.1,25,-8.5
"65","NC State Wolfpack",380.3,271.2,109.1,22.7,456.1,313.2,142.9,33.8,11.1
"66","Nebraska Cornhuskers",433.5,237.8,195.8,31.3,456.2,247.2,209,30,-1.3
"67","Nevada Wolf Pack",378.3,243.1,135.2,28.1,430.8,278.8,152,31.1,3
"68","New Mexico Lobos",473,256,217,36.2,330.4,177.3,153.2,26.6,-9.6
"69","New Mexico State Aggies",475.9,207.5,268.4,41.3,370.5,265.2,105.3,25.3,-16
"70","North Carolina Tar Heels",447.6,228.8,218.8,34.5,442.1,249.1,193,27.4,-7.1
"71","North Texas Mean Green",359.5,246.1,113.4,21.8,460.5,306.8,153.8,34.6,12.8
"72","Northern Illinois Huskies",347.8,238.2,109.7,21.5,322.3,155.4,166.9,20.1,-1.4
"73","Northwestern Wildcats",390.7,258.1,132.6,23.5,354.4,239.4,114.9,24.2,0.699999999999999
"74","Notre Dame Fighting Irish",331.5,198,133.5,17.3,440.1,257.5,182.6,31.4,14.1
"75","Ohio Bobcats",399.6,263.8,135.8,26.7,466.8,208.2,258.5,40.1,13.4
"76","Ohio State Buckeyes",400.3,239.8,160.5,25.7,535.6,364.3,171.3,42.4,16.7
"77","Oklahoma Sooners",448.1,291.4,156.7,32.4,570.3,322.9,247.4,48.4,16
"78","Oklahoma State Cowboys",437.1,258.3,178.8,32.4,500.2,309.8,190.3,38.4,6
"79","Old Dominion Monarchs",471.4,255,216.4,35.9,427.8,297,130.8,30.8,-5.1
"80","Ole Miss Rebels",483.4,261.7,221.8,36.2,510.5,346.4,164.1,33.9,-2.3
"81","Oregon Ducks",390.5,247.4,143.1,27,427.2,247.8,179.4,34.8,7.8
"82","Oregon State Beavers",536.8,254.9,281.8,45.7,404.8,249.2,155.6,26.3,-19.4
"83","Penn State Nittany Lions",354.9,186.5,168.4,20,423,218.1,204.9,33.8,13.8
"84","Pittsburgh Panthers",401.4,217.3,184.1,28.8,369.7,141.8,227.9,25.5,-3.3
"85","Purdue Boilermakers",441.5,276.9,164.6,27.3,443.9,307.5,136.4,30.5,3.2
"86","Rice Owls",446.1,280.1,166,36,318.4,174.8,143.6,18.9,-17.1
"87","Rutgers Scarlet Knights",401.5,186.7,214.8,31.4,266.3,132.2,134.1,13.5,-17.9
"88","San Diego State Aztecs",327.4,232.9,94.5,21.8,348.8,187.2,161.7,20.6,-1.2
"89","San Jose State Spartans",495.1,283.9,211.2,36.6,322.4,260.9,61.5,21.3,-15.3
"90","SMU Mustangs",430.1,232.9,197.2,35.3,387.2,271.7,115.5,30.4,-4.9
"91","South Alabama Jaguars",448.7,245.7,203,38.8,355.3,203.3,152,24.2,-14.6
"92","South Carolina Gamecocks",425.3,230.8,194.5,27.2,425.6,272.8,152.8,30.1,2.9
"93","South Florida Bulls",441.9,197.3,244.7,31.5,437.7,243.7,194,28.5,-3
"94","Southern Mississippi Golden Eagles",278.4,175.6,102.7,19.8,367.6,255,112.6,26.2,6.4
"95","Stanford Cardinal",415.6,274.7,140.9,23.8,381,273.1,107.9,28.4,4.6
"96","Syracuse Orange",426.8,263,163.8,27.8,463.9,264.7,199.2,40.2,12.4
"97","TCU Horned Frogs",344.4,202.6,141.8,24.4,368.1,211.5,156.6,23.5,-0.899999999999999
"99","Temple Owls",356.7,166.3,190.3,24.7,409.5,253.6,155.9,34.9,10.2
"100","Tennessee Volunteers",377.4,222.9,154.5,27.9,325.5,196.4,129.1,22.8,-5.1
"101","Texas A&M Aggies",354.7,262.7,92,26.3,471.6,252.6,219,36,9.7
"102","Texas Longhorns",401.2,265.2,135.9,26.2,411.3,258.2,153.1,31.1,4.9
"103","Texas State Bobcats",383.9,201.6,182.3,27.7,330.3,182.2,148.1,19.8,-7.9
"104","Texas Tech Red Raiders",448.9,288.3,160.6,31.1,485.2,352.6,132.6,37.3,6.2
"105","Toledo Rockets",430.1,257.8,172.3,30.2,443.8,227.9,215.9,40.4,10.2
"106","Troy Trojans",345.6,214.7,130.9,21.2,389.4,215.3,174.1,30.7,9.5
"107","Tulane Green Wave",419.2,266.6,152.6,27.8,401.1,182.9,218.2,26.8,-1
"108","Tulsa Golden Hurricane",407.7,174.6,233.1,29.6,377.6,177.1,200.5,24.1,-5.5
"109","UAB Blazers",300.8,181.9,118.8,17.3,405.7,204.4,201.3,29.9,12.6
"110","UCF Knights",423.6,196.2,227.4,21.3,522.7,257.5,265.2,43.2,21.9
"111","UCLA Bruins",444.9,245.5,199.4,34.1,392.6,237.8,154.8,24.6,-9.5
"112","UConn Huskies",617.4,282.4,335,50.4,377.3,178.9,198.4,22.2,-28.2
"113","UL Monroe Warhawks",429.8,247.1,182.7,31.8,414.8,247.5,167.3,26.6,-5.2
"114","UMass Minutemen",484.8,210,274.8,42.9,437.6,298.1,139.5,32.8,-10.1
"115","UNLV Rebels",454.2,267.6,186.6,37.3,391.2,166.8,224.3,28.8,-8.5
"116","USC Trojans",387.7,223.3,164.4,27,382.6,249.1,133.5,26.1,-0.899999999999999
"117","Utah State Aggies",385.2,240.1,145.1,23,497.4,294.2,203.2,47.5,24.5
"118","Utah Utes",315.1,213.3,101.8,18.5,395.8,215.8,180,28.1,9.6
"119","UTEP Miners",394.7,198.9,195.8,32.8,307.7,184,123.7,17.7,-15.1
"120","UTSA Roadrunners",435.5,275.3,160.3,31.2,247.1,159.8,87.3,14.2,-17
"121","Vanderbilt Commodores",419.8,232.6,187.3,25.1,411.2,243.7,167.5,28.5,3.4
"122","Virginia Cavaliers",337.2,180.1,157.1,21.8,384.8,211.6,173.2,28.5,6.7
"123","Virginia Tech Hokies",436.8,230.3,206.5,30.7,428.2,253.8,174.3,29.8,-0.899999999999999
"124","Wake Forest Demon Deacons",465.3,274,191.3,33.3,449.8,236.1,213.7,32.8,-0.5
"125","Washington Huskies",301.8,185.4,116.4,15.5,414.6,238.4,176.3,26.4,10.9
"126","Washington State Cougars",345.3,208.8,136.6,23.1,451.5,373.8,77.7,37.5,14.4
"127","West Virginia Mountaineers",405.5,254.6,150.8,26.5,512.3,351.3,160.9,40.3,13.8
"128","Western Kentucky Hilltoppers",421.6,248.8,172.8,27.8,363.7,226.8,136.8,21.1,-6.7
"129","Western Michigan Broncos",378.5,209.3,169.2,33.3,436.8,237.4,199.5,32,-1.3
