"","PLAYER.NAME","Rank","Birdie_Bogey","One_Putt_PCT","Tot_Putts_AVG","Sand_PCT","GIR_PCT","Drive_Dist_AVG","Drive_Acc_PCT"
"1","Aaron Baddeley",42,1.18,38.89,28.85,57.04,63.39,295.3,53.27
"2","Aaron Wise",100,1.41,39.14,29.15,47.92,68.81,302.9,63.33
"3","Abraham Ancer",151,1.39,40.1,28.91,54.12,66.49,296.1,63.64
"4","Adam Hadwin",29,1.3,37.33,29.26,47.34,68.04,289.4,65.6
"5","Adam Schenk",62,1.11,35.35,29.95,42.36,67.92,305.5,57.67
"6","Adam Scott",123,1.28,35.47,30.15,50.38,70.66,304.6,62.51
"7","Alex Cejka",140,1.31,40.98,28.52,59.35,63.77,286.7,66.49
"8","Alex Noren",169,1.31,39.63,28.97,51.85,64.91,299.2,61.73
"9","Andrew Landry",34,1.21,37.92,28.96,42.64,65.63,291.1,62.92
"10","Andrew Putnam",12,1.44,37.83,29.36,48.8,70.47,293.8,60.42
"11","Andrew Yun",94,0.72,33.95,30.2,34.33,61.85,290.6,53.58
"12","Anirban Lahiri",36,1.19,39.5,28.99,51.46,64.7,294,60.09
"13","Austin Cook",122,1.44,39.93,28.72,53.45,66.51,292.3,66.76
"14","Beau Hossler",99,1.47,39.74,28.92,54.19,67.95,300,60.47
"15","Ben Crane",167,1.29,39.92,28.69,66,64.88,281.1,67.52
"16","Ben Martin",15,1.21,40.71,28.58,57.69,63.98,289.6,63.52
"17","Ben Silverman",43,1.24,38.82,28.74,44.67,64.95,290.2,65.56
"18","Bill Haas",52,1.1,37.09,29.23,57.26,64.79,296.2,57.27
"19","Billy Horschel",2,1.6,37.74,29.46,51.72,71.75,295.4,67.8
"20","Billy Hurley III",78,0.97,39.06,29.09,48.96,63.02,284,59.24
"21","Blayne Barber",146,1.36,36.57,29.66,52.73,69.98,294.7,64.67
"22","Branden Grace",137,1.28,38.02,29.34,47.46,67.1,298.9,63.49
"23","Brandon Harkins",104,1.29,41.17,28.86,53.42,65.67,303.1,54.79
"24","Brandt Snedeker",112,1.34,40.04,28.63,56.67,65.04,293.1,62.79
"25","Brendan Steele",7,1.12,33.91,30.36,48,69.24,310.3,60.47
"26","Brett Stegmaier",156,1.37,36.89,29.48,48.28,70.31,295.4,58.38
"27","Brian Gay",121,1.44,43.4,28.25,53.1,64.52,282.9,71.37
"28","Brian Harman",153,1.25,38.95,29.29,47.22,67.59,291.9,67.14
"29","Brian Stuard",44,1.26,38.83,29.11,48.03,67.12,278.9,71.44
"30","Brice Garnett",45,1.22,38.42,29.34,41.43,66.78,296.7,64.45
"31","Bronson Burgoon",111,1.35,35.67,29.55,45.95,68.44,302.8,64.53
"32","Brooks Koepka",145,1.69,41.13,28.76,53.76,68.28,313.4,56.85
"33","Bryson DeChambeau",163,1.61,39.31,29.18,48.67,69.65,305.7,62.23
"34","Bubba Watson",119,1.36,37.27,29.33,44.2,68.21,313.1,58.27
"35","Bud Cauley",35,1.2,41.19,28.58,54.37,64.26,295.4,60.81
"36","Byeong Hun An",133,1.39,37.5,29.31,48.85,67.99,307.9,60.19
"37","C.T. Pan",129,1.45,35.2,29.66,42.07,71.2,292.7,68.98
"38","Cameron Percy",96,1.46,37.33,29.36,54.79,69.56,295.6,63.66
"39","Cameron Smith",139,1.32,41.52,28.36,56.52,63.18,298.4,57.03
"40","Cameron Tringale",84,1,37.04,29.81,52.81,65.52,289.3,51.99
"41","Chad Campbell",75,1,37.76,29.75,50,65.54,286.5,64.7
"42","Charl Schwartzel",82,0.98,41.38,28.74,49.26,61.11,299.5,55.19
"43","Charles Howell III",124,1.44,36.39,29.5,55.76,69.33,300.9,62.59
"44","Charley Hoffman",15,1.21,38.75,29.19,45.14,66.53,299.5,58.34
"45","Chesson Hadley",102,1.41,38.55,28.99,46.1,67.68,300,60.07
"46","Chez Reavie",151,1.47,39.41,29.12,43.06,68.67,286.5,72.24
"47","Chris Kirk",109,1.56,38.99,28.9,54.01,68.24,289.8,64.64
"48","Chris Stroud",50,1.15,40.49,28.78,53.42,62.94,289.8,62.24
"49","Cody Gribble",65,1.02,39.91,28.88,48.72,62.48,301,55.45
"50","Conrad Shindler",29,1.25,38.39,29.14,48.15,66.27,291.3,65.77
"51","Corey Conners",4,1.3,35.78,29.84,44.27,70.19,303.3,62.99
"52","D.A. Points",62,0.84,40.07,29.1,57.66,60.2,280.8,60.47
"53","Daniel Berger",159,1.26,37.35,29.42,47.33,66.89,297.7,64.58
"54","Daniel Summerhays",85,0.87,42.72,27.82,52.44,56.79,287.1,54.69
"55","Danny Lee",149,1.35,41.41,28.56,55.62,65.05,290.6,62.65
"56","David Hearn",26,1.25,37.78,29.58,47.62,68.89,285.1,66.63
"57","David Lingmerth",19,1.24,42.09,28.5,48.41,63.03,285.4,68.93
"58","Denny McCarthy",32,1.34,38.1,29.41,46.15,68.17,295.4,63.45
"59","Derek Fathauer",80,1.01,41.32,28.46,43.62,60.35,289.1,53.27
"60","Dominic Bozzelli",57,1.12,42.22,28.18,44.8,60.94,297,55.69
"61","Dustin Johnson",1,2.16,41.14,28.47,52.17,70.57,314,59.46
"62","Emiliano Grillo",97,1.51,40.1,29.04,54.84,68.84,295.2,70.16
"63","Ethan Tracy",56,1.04,37.5,29.44,34.86,64.87,299,60.25
"64","Fabián Gómez",39,1.26,37.24,29.38,43.2,67.86,291.1,64.99
"65","Francesco Molinari",110,1.44,36.43,29.63,47.9,70.24,301,65.04
"66","Gary Woodland",105,1.34,34.92,29.93,41.49,70.51,313.5,63.69
"67","Graeme McDowell",64,1.13,38.89,29.2,47.37,64.5,293.2,64.92
"68","Grayson Murray",25,1.11,40.97,28.94,43.93,62.5,307.3,56
"69","Greg Chalmers",87,0.83,41.67,28.31,50.44,56.94,282.8,58.9
"70","Harold Varner III",161,1.2,36.95,29.56,51.95,67.79,308.2,59.02
"71","Harris English",31,1.18,39.96,28.76,44.67,63.32,302.4,58.99
"72","Henrik Stenson",107,1.7,33.63,29.93,55.56,73.51,291.5,75.19
"73","Hideki Matsuyama",135,1.59,39.43,29.21,52.04,69.29,302,62.82
"74","Hudson Swafford",144,1.18,35.57,30.03,51.52,68.99,302.8,64.57
"75","Hunter Mahan",164,1.46,39.07,29.02,40.95,68.96,296.9,65.04
"76","Ian Poulter",157,1.29,38.02,28.97,50.42,67.01,293.6,66.41
"77","J.B. Holmes",127,1.21,39.11,29.01,54.55,65.26,306.1,57.13
"78","J.J. Henry",71,1.13,33.11,30.37,42.22,70.52,291.8,66.22
"79","J.J. Spaun",132,1.38,36.5,29.63,43.9,69.48,298.2,66.18
"80","J.T. Poston",134,1.37,39.28,29.07,50,68.31,300.7,61.53
"81","James Hahn",143,1.33,37.33,29.5,48.48,68.29,298.7,63.73
"82","Jamie Lovemark",132,1.34,40.97,28.64,53.33,64.65,303.2,56.92
"83","Jason Day",70,1.59,42.57,28.24,62.5,65.28,310,58.32
"84","Jason Dufner",63,1.07,37.85,29.58,50.94,64.24,297.1,63.3
"85","Jason Kokrak",113,1.44,36.53,29.59,40.88,70.37,309.5,58.06
"86","Jhonattan Vegas",74,1.12,37.83,29.43,39.64,65.17,303.6,57.91
"87","Jim Furyk",76,1.09,40.28,28.73,46.25,63.19,280.5,69.91
"88","Jimmy Walker",25,1.19,41.41,28.34,53.33,61.9,299,53.49
"89","Joel Dahmen",115,1.5,38.69,29.26,51.85,68.82,295.8,66.36
"90","John Huh",146,1.3,39.69,28.82,47.06,65.8,287.1,63.83
"91","Johnson Wagner",130,1.63,40.1,28.65,52.75,67.87,286.1,64.25
"92","Jon Rahm",22,1.6,38.89,29.14,48.54,70.12,308.9,59.2
"93","Jonas Blixt",77,0.95,38.62,29.1,52.13,62.02,293.1,60.3
"94","Jonathan Byrd",17,1.27,36.65,29.5,57.65,68.19,291.7,58.59
"95","Jonathan Randolph",82,0.97,41.71,28.63,54.03,60.43,289.4,62.18
"96","Jordan Spieth",40,1.7,39.55,29.09,51.33,70.47,299.8,61.55
"97","Justin Rose",128,1.95,40.4,28.67,61.16,69.95,303.5,66.02
"98","Justin Thomas",106,1.81,42.55,28.33,54.29,68.77,311.8,58.41
"99","Keegan Bradley",108,1.35,35.48,29.68,45.2,69.18,299.6,67.9
"100","Keith Mitchell",130,1.41,36.71,29.65,48.61,69.42,312.6,58.59
"101","Kelly Kraft",69,1.09,39.19,28.92,44.94,63.83,288.6,65.84
"102","Kevin Chappell",165,1.21,37.54,29.64,44.07,66.52,308.6,61.27
"103","Kevin Kisner",16,1.29,38.68,28.91,44,65.38,290.8,66.33
"104","Kevin Na",98,1.49,43.54,28.07,61.49,64.66,289.6,64.13
"105","Kevin Streelman",171,1.55,34.84,29.67,47.24,71.56,295.1,69.11
"106","Kevin Tway",148,1.32,37.98,29.15,49.44,66.88,310.1,52.61
"107","Kiradech Aphibarnrat",25,1.02,38.89,28.93,46.88,62.2,294.7,65.12
"108","Kyle Stanley",125,1.37,35.42,29.89,46.2,71.09,295.7,71.29
"109","Kyle Thompson",88,0.88,37.44,29.61,51.28,62.44,285.3,62.99
"110","Lanto Griffin",155,1.24,37.69,29.42,50.43,67.42,302.5,55.27
"111","Louis Oosthuizen",3,1.22,39.09,29.24,64.29,65.74,299.8,64.81
"112","Lucas Glover",24,1.21,37.16,29.64,51.61,67.12,297.7,65.06
"113","Luke List",126,1.37,36.43,29.45,52.22,68.36,314.6,54.66
"114","Mackenzie Hughes",54,1.17,37.13,29.37,41.74,66.01,294.9,60.04
"115","Marc Leishman",114,1.39,39.88,28.94,48.81,66.67,298.5,60.17
"116","Martin Flores",73,1.13,38.18,29.36,40.65,66.34,300,54.92
"117","Martin Laird",120,1.34,40.51,28.83,50.48,65.9,299,63.22
"118","Martin Piller",79,1.03,41.63,28.52,47.62,60.39,292.2,58.51
"119","Matt Atkins",66,1.07,39.32,29.12,45.65,63.46,301.4,57.5
"120","Matt Every",53,1.01,38.22,29.24,48.84,64.59,294.2,55.5
"121","Matt Jones",138,1.29,39.7,29.02,51.38,66.49,304.5,59.38
"122","Matt Kuchar",162,1.42,40.56,28.85,60.81,66.81,288,63.27
"123","Michael Kim",72,1.02,40.63,28.54,48.84,60.63,289.9,54.89
"124","Michael Thompson",168,1.36,36.3,29.62,48.61,70.11,296.4,64.66
"125","Nate Lashley",41,1.32,36.88,29.32,48.57,68.2,293.9,60.58
"126","Nicholas Lindheim",47,1.21,39.37,29.25,43.96,68.04,293.5,60.44
"127","Nick Taylor",49,1.27,37.78,29.48,55.56,67.65,292.7,60.94
"128","Nick Watney",168,1.32,37.59,29.26,43.79,67.96,307.5,56.33
"129","Ollie Schniederjans",160,1.23,41.32,28.44,51.48,62.77,301.4,52.22
"130","Pat Perez",170,1.3,37.48,29.29,47.2,67.78,290.9,65.09
"131","Patrick Cantlay",60,1.44,36.46,29.8,53.91,70.69,303.1,61.58
"132","Patrick Reed",118,1.4,41.8,28.33,56.68,63.57,298.1,55.11
"133","Patrick Rodgers",142,1.25,39.78,29.1,51.72,65.65,303.5,61.14
"134","Patton Kizzire",166,1.35,36.7,29.53,46.83,69.04,298.7,55.59
"135","Paul Casey",90,1.42,38.81,29.07,54.46,67.84,304.3,63.14
"136","Peter Malnati",21,1.32,44.24,28.07,56.69,62.99,290.9,56.86
"137","Peter Uihlein",147,1.26,38.25,29.41,54.24,67.88,302.2,52.93
"138","Phil Mickelson",81,1.49,43.17,28.11,58.6,64.88,300.3,52.91
"139","Rafa Cabrera Bello",152,1.41,37.86,29.47,56.9,70.16,295.1,67.85
"140","Retief Goosen",89,0.96,39.32,29.12,41.89,61.75,296.2,55.22
"141","Richy Werenski",38,1.18,37.38,29.36,43.33,66.97,291.8,65.06
"142","Rickie Fowler",117,1.79,39.86,28.99,60.5,69.52,299.8,65.33
"143","Ricky Barnes",29,1.3,42.66,28.25,51.65,63.75,290.6,47.15
"144","Rob Oppenheim",55,1.16,40.93,28.91,60,64.05,285.2,56.26
"145","Robert Garrigus",50,1.18,38.08,29.2,43.2,65.28,307.9,56.37
"146","Robert Streb",91,0.99,36.41,29.51,45,64.94,292.6,54.11
"147","Roberto Díaz",86,1.02,38.56,29.21,50,63.73,286.3,63.2
"148","Rod Pampling",92,0.94,37.84,29.31,43.2,62.64,288.4,63.69
"149","Rory McIlroy",13,1.58,41.71,28.46,52.43,66.3,319.7,55.79
"150","Rory Sabbatini",116,1.39,38.7,29.07,60.67,67.85,292.3,62.05
"151","Russell Henley",170,1.27,35.21,29.8,42.54,68.77,293,70.03
"152","Russell Knox",144,1.3,36.23,29.7,52.21,69.57,291.7,67.7
"153","Ryan Armour",154,1.34,37.8,29.31,52.54,68.22,283.5,73.58
"154","Ryan Blaum",9,1.21,37.61,29.13,41.54,66.1,289,64.31
"155","Ryan Moore",150,1.49,38.6,29.17,47.14,68.8,289.2,71.94
"156","Ryan Palmer",129,1.25,39.68,28.92,46.15,65.61,305.2,59.11
"157","Sam Ryder",136,1.49,35.76,29.88,43.48,72.08,297.3,66.91
"158","Sam Saunders",127,1.29,39.64,28.73,51.75,65.02,302.8,60.14
"159","Satoshi Kodaira",83,0.73,37.85,29.88,39.53,60.3,293.6,65.53
"160","Scott Brown",59,1.17,37.81,29.1,42.86,65.65,292.6,62.03
"161","Scott Piercy",5,1.26,35.76,29.86,44.96,69.72,296.6,65.68
"162","Scott Stallings",23,1.28,38.21,29.14,55.63,65.62,299.7,56.57
"163","Seamus Power",19,1.36,40.6,28.68,60.94,65.17,302.6,55.19
"164","Sean O'Hair",37,1.13,39.33,28.97,51.09,63.84,302.7,60.09
"165","Shane Lowry",14,1.16,35.32,30.04,50.54,68.65,300.7,61.2
"166","Shawn Stefani",33,1.28,38.44,29.27,47.5,67.49,299.6,56.52
"167","Si Woo Kim",56,1.15,38.94,29,51.67,63.78,290.8,60.68
"168","Stephan Jaeger",61,1.18,36.67,29.61,46.97,67.11,299.2,58.76
"169","Steve Wheatcroft",58,1.28,38.7,29.29,47.73,66.57,288.9,69.79
"170","Stewart Cink",131,1.29,36.21,29.53,49.29,68.58,298.1,57.6
"171","Sung Kang",67,1.01,38.76,29.24,50.34,63.2,293.1,56.72
"172","Talor Gooch",46,1.14,39.04,28.94,51.52,63.58,298.9,57.31
"173","Ted Potter, Jr.",28,1.1,41.19,28.45,51.27,63.03,286,66.83
"174","Tiger Woods",101,1.62,42.65,28.49,48.15,67.4,303.6,59.35
"175","Tom Hoge",11,1.25,42.83,28.45,49.36,63.62,291.4,62.43
"176","Tom Lovelady",148,1.22,36.63,29.56,49.65,67.08,315.9,54.73
"177","Tommy Fleetwood",95,1.55,38.13,29.3,51.67,69.36,306.9,64.98
"178","Tony Finau",30,1.64,38.66,29.03,44.38,70.18,315.1,55.09
"179","Trey Mullinax",158,1.22,38.08,29.13,47.97,65.38,318.3,54.94
"180","Troy Merritt",141,1.25,39.93,28.74,48.47,65.16,295.4,62.93
"181","Tyler Duncan",18,1.14,34.59,30.19,32.43,69.65,294.4,66.74
"182","Tyrone Van Aswegen",68,1.16,39.01,28.98,49.01,65.23,290.3,56.98
"183","Tyrrell Hatton",10,1.28,37.35,29.2,54.65,66.46,298.8,61.84
"184","Vaughn Taylor",6,1.34,39.52,29.15,47.65,67.02,286.1,67.51
"185","Webb Simpson",51,1.69,41.12,28.47,62.91,67.93,293.7,62.34
"186","Wesley Bryan",83,1.12,42.12,28.1,49.58,61.28,280.4,55.41
"187","Whee Kim",8,1.2,41.32,28.7,61.82,63.55,285.8,61.11
"188","William McGirt",48,1.33,37.61,29.28,53.28,67.59,289.3,59.89
"189","Xander Schauffele",142,1.28,39.07,29.18,48.4,65.59,304.9,59.77
"190","Xinjun Zhang",20,1.17,36.67,29.67,49.23,67.04,298.7,65.33
"191","Zac Blair",27,1.39,38.12,28.97,61.63,66.48,279.5,62.76
"192","Zach Johnson",103,1.56,39.91,28.62,52.98,67.43,289.8,63.88
"193","Zecheng Dou",93,0.83,36.39,30,46.51,63.72,291.9,54.76
