TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
Fastball,StrikeCalled,Undefined,90.1085246055,2150.86394053,165.820006525,22.9803611065,-5.81452888769,1.47520839182,-0.609228305322
Fastball,StrikeCalled,Undefined,89.6270881481,2210.21020809,158.601459882,22.0194966188,-8.64138826675,2.13472679574,-1.47152338641
Fastball,BallCalled,Undefined,90.3683413818,2072.96843724,169.003448742,20.7569194353,-4.03958670826,4.55979013472,-0.454760771756
Fastball,BallCalled,Undefined,90.9970420358,2203.09496168,157.475689021,19.3411395775,-8.03383342517,1.30723681322,0.679632545611
Fastball,StrikeSwinging,Undefined,91.3574428572,2257.77884336,168.612254889,22.9643844686,-4.63158525488,1.50166043826,-0.308897362794
Fastball,BallCalled,Undefined,88.2007365155,2125.28819177,160.450384588,19.7510197868,-7.02519586759,4.08422989741,0.03044011013
Fastball,FoulBall,Undefined,88.9369247909,2171.22304613,158.26397313,19.3536231918,-7.72878853318,2.53052901045,0.145920078645
Fastball,FoulBall,Undefined,88.8298314569,2207.78670653,149.974985084,18.6556805403,-10.8004545849,2.45122376077,-0.648999400804
Fastball,BallCalled,Undefined,91.8036254981,2153.26234781,158.258723279,20.129961784,-8.03978038453,4.04698088314,-0.95583074985
ChangeUp,BallCalled,Undefined,77.0600260835,1629.62256417,128.658732497,9.48512455475,-11.9111723152,2.34332901193,0.531423999885
Fastball,FoulBall,Undefined,89.5144849012,2052.62206683,156.30048774,18.8050773692,-8.26861881929,1.41996711505,-0.898209980173
Fastball,StrikeCalled,Undefined,90.0106199166,2101.58751192,155.245205366,19.9838158854,-9.22937074038,2.16803085887,0.395747347414
Fastball,StrikeSwinging,Undefined,89.9838568579,2119.58671545,157.591203426,19.9723333841,-8.24875572479,2.6860187047,-0.321254534286
ChangeUp,StrikeSwinging,Undefined,77.0186186268,1574.82117955,113.896021466,5.33573843578,-12.1412474662,0.513687449144,-0.604347530806
ChangeUp,BallCalled,Undefined,76.7368104493,1574.40800273,129.573577778,12.4909675123,-15.1662465861,0.575716603606,-1.23373774641
