TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
Fastball,StrikeCalled,Undefined,93.6208242078,2128.13330415,219.559594743,13.4877483865,11.1657786255,2.1305462225,0.653512151438
Fastball,FoulBall,Undefined,94.7504133704,2165.04375378,201.386935457,16.5583910165,6.49574871749,3.14516054153,-0.252865153222
Fastball,BallCalled,Undefined,95.348649977,2248.18164448,202.347783767,19.6510496793,8.09020510225,2.42330020483,-2.44868174363
Fastball,FoulBall,Undefined,94.7493123986,2310.94982959,207.599692266,14.736587878,7.71895967173,2.38412623781,-1.44118519477
Curveball,BallCalled,Undefined,80.3732410282,2301.63593811,40.1958034662,-8.30498404014,-6.98327995285,3.36486226495,-0.0541778095726
Curveball,StrikeSwinging,Undefined,80.4126275058,2338.64796447,74.3297606462,-2.01591619887,-7.04069797604,0.474407162628,-0.669623683106
Curveball,StrikeSwinging,Undefined,80.114084821,2322.42953307,43.720318595,-6.04444410974,-5.74116618135,1.09145173578,-0.357052775167
Fastball,BallCalled,Undefined,93.8963525324,2190.85755422,196.76889486,18.4930381016,5.58102915499,2.43921116881,-2.18745244422
Curveball,FoulBall,Undefined,80.1462553491,2264.04031599,34.7402225873,-7.55297631173,-5.20948020872,2.27946972533,0.0818299164481
Fastball,FoulBall,Undefined,94.5702228568,2350.73096275,210.312997139,16.0134798705,9.37915024889,2.35981610224,-1.17548274377
Fastball,StrikeSwinging,Undefined,93.3310711927,2287.98710073,209.321806944,16.8438118346,9.47703016535,2.81355237072,1.00202205173
Fastball,StrikeSwinging,Undefined,94.6121174778,2323.90511249,198.157750118,19.7463959447,6.48552187781,2.5240127821,-0.50089717305399994
Fastball,BallCalled,Undefined,93.0618057518,2303.96247417,193.457465235,16.2186181924,3.88795699666,3.06941452605,-1.11399976883
Fastball,StrikeCalled,Undefined,92.5767068118,2309.98344711,199.201982575,18.9177452925,6.59888376381,2.00010604689,-1.33854158177
Curveball,StrikeSwinging,Undefined,80.7779519698,2345.83174742,52.934316031,-6.50798319952,-8.5631732733,0.535356409711,-0.63958220695
Curveball,BallCalled,Undefined,79.138005065,2162.03766922,31.9249505624,-8.89004326069,-5.51334011795,3.47386666118,0.707043699527
Fastball,FoulBall,Undefined,93.3936059968,2145.44109106,205.691633518,14.5442764247,7.01089482098,2.71279412703,0.970540758971
Curveball,BallCalled,Undefined,81.2726581001,2422.84159478,59.53083551,-3.06022490842,-5.13494737454,1.63476431622,-1.24130537545
Fastball,BallCalled,Undefined,93.0985401352,2241.91231756,193.693475332,22.1727143166,5.40957206524,3.377595587,-0.723438854485
Fastball,FoulBall,Undefined,93.602329018,2281.43810186,195.435237029,20.5571831186,5.68396489156,2.46338210564,0.24804764533
Fastball,InPlay,Single,93.9911765972,2262.61789603,200.34131122,16.2245938777,6.02553604598,3.3936405675,0.352947093133
Curveball,BallCalled,Undefined,78.4873328741,2210.80478666,60.8652169947,-3.03576888905,-5.3713551195200004,3.73887387455,0.759794649433
Fastball,StrikeSwinging,Undefined,92.0789019091,2180.05793621,207.630870567,17.7533651701,9.30910092017,3.24601530617,0.45843113896
Fastball,StrikeSwinging,Undefined,91.6833241929,2223.15138239,206.657746306,16.4888361621,8.29294072139,3.04669086405,0.576396520374
Fastball,StrikeCalled,Undefined,93.0382692916,2259.30423892,209.199243822,17.1277008871,9.58848712685,1.92447884957,-0.989451967313
Fastball,BallCalled,Undefined,91.0724025928,2189.31847232,198.255284227,19.7827264277,6.53545939759,1.96337056844,-1.14499258733
ChangeUp,BallCalled,Undefined,84.0344643157,1499.93320009,234.576209472,10.2424161891,14.451065612,4.07952317692,1.2823595205
Fastball,InPlay,Out,90.9309102535,2224.12529524,208.651801962,15.6909598197,8.59019175206,2.54504273436,-0.330040940686
Fastball,BallCalled,Undefined,92.090294392,2158.24148902,206.728211353,17.1621974263,8.65727465691,1.5825701289,-1.03759282249
Fastball,FoulBall,Undefined,92.6745634497,2078.56089669,203.247690398,19.1130922608,8.2234571429,2.86565536171,0.301345810804
Curveball,BallCalled,Undefined,78.9161376235,2164.76608859,37.1819567364,-4.73005834295,-3.55722566769,3.44961565115,-0.654303878758
Fastball,BallCalled,Undefined,90.4496248296,2083.67244682,198.574473857,19.3844788812,6.52433983261,3.63127423849,-0.857703152069
Fastball,FoulBall,Undefined,90.6023318571,2169.28869057,208.017062674,16.6841301401,8.89396638532,3.13203689971,-0.181744617126
Fastball,BallCalled,Undefined,93.5468651916,2223.74305095,203.145253848,16.3944108634,7.02042688573,3.62217788928,-0.549048545337
Fastball,InPlay,Out,93.1734505895,2229.81768334,197.49148932,19.9735130836,6.30362066064,2.24317870077,-0.890996084886
Curveball,StrikeCalled,Undefined,80.5957240126,2198.42183063,28.1737589444,-5.37048046642,-2.85541658153,2.47921237766,-0.495131752127
Fastball,BallCalled,Undefined,93.1915459249,2191.38963869,207.495541814,15.7175347333,8.19562953612,-0.162658057467,-2.08372063994
Fastball,InPlay,HomeRun,91.9025230289,2104.77174242,203.275870288,14.565501296,6.27842172392,2.00536750124,0.899816784546
Fastball,FoulBall,Undefined,94.3934727045,2343.66099231,204.896970674,16.2621501973,7.56067572324,2.50288909142,-0.0803609050546
Fastball,StrikeSwinging,Undefined,92.9650673694,2238.33603351,201.816272382,19.0447922356,7.63535851757,2.89082899969,-0.283533462312
Curveball,BallCalled,Undefined,80.4484684111,2267.76048596,64.9853668284,-3.89923414805,-8.27149522924,3.37701752039,-0.146599664404
Curveball,BallCalled,Undefined,80.0190560971,2236.88434715,60.4882675978,-4.25652104731,-7.44839077583,1.29888573002,-1.59092600936
Fastball,InPlay,Single,91.7234608281,2141.80555488,197.170223817,14.2607949368,4.4154869366,2.27539679324,-0.768407108149
Curveball,BallCalled,Undefined,78.543066794,2191.25973425,31.9106115928,-6.91288394713,-4.27892014045,3.54245306881,0.442626177502
Fastball,StrikeCalled,Undefined,90.2766069727,2121.39992562,204.695816999,15.9827079898,7.3641728071,2.2912747905,-0.856790113677
Curveball,InPlay,Single,79.7765330667,2239.62678437,32.4141640478,-8.10370226654,-5.11991818674,2.26755426533,-0.557956172518
Fastball,StrikeSwinging,Undefined,91.8471609078,2102.99433928,210.860280489,16.3821515783,9.8070217492,3.35523271349,-0.174748007973
Fastball,StrikeSwinging,Undefined,91.9706383091,2155.16549886,199.911104146,16.1907097078,5.87520782394,3.47676609963,-0.417765641234
Fastball,BallCalled,Undefined,92.6753964834,2189.71592966,220.521166491,12.8242826068,10.9861498476,2.6362430763,-1.77745449847
Curveball,InPlay,Out,81.3015046573,2333.75135632,35.2137760185,-7.47690058282,-5.24968164051,3.00387444699,-0.879176587841
Curveball,BallCalled,Undefined,80.5045437656,2254.46712859,38.6858624735,-8.01544362662,-6.38633021224,1.64485702272,-2.00488338167
Curveball,StrikeSwinging,Undefined,80.1170170135,2263.20841601,45.0850968361,-4.57039200121,-4.54381040312,1.48385626683,-0.592518482391
Curveball,StrikeCalled,Undefined,79.8542881461,2177.14115977,75.2671305764,-1.25727576769,-4.628610943,2.33314093503,-0.563393540298
Slider,BallCalled,Undefined,85.7289005287,2019.15003135,170.745458157,8.69951431587,-1.42313968422,1.8174823542,-1.86934513232
Fastball,InPlay,Out,92.9710253683,2122.38504449,211.125430144,14.941176898,9.03975212465,2.55456900949,-0.673417612947
Fastball,StrikeCalled,Undefined,92.3033111486,2147.47945195,204.263392767,18.8527321666,8.51122581997,2.44784248217,-0.647534347163
Curveball,BallCalled,Undefined,80.2395875648,2231.27801786,33.7400187853,-7.17170974035,-4.76371222647,0.794337257871,-0.292135001194
Fastball,InPlay,Out,91.9482570377,2159.29771105,207.653289127,16.035108275,8.41765203537,3.08070330243,-0.288262948827
Fastball,FoulBall,Undefined,92.3051050065,2200.57754922,204.526354582,14.6616778817,6.70330531777,2.6303639658,-0.503285771514
ChangeUp,BallCalled,Undefined,85.3662023695,1714.51126698,227.050051127,12.1675276684,13.1086400233,1.19021144043,-0.401222781499
ChangeUp,StrikeSwinging,Undefined,84.0233703567,1674.20426882,222.401007483,13.8804381927,12.7081334252,1.12979877328,0.304440249724
ChangeUp,BallCalled,Undefined,84.1592219942,1583.70808263,227.801037652,11.8863407801,13.1487842777,1.379427647,1.61576333348
Fastball,InPlay,Out,92.32179285,2159.36915488,204.449023534,15.6229742127,7.1164717975,1.90891614658,0.124749429589
Curveball,BallCalled,Undefined,79.3192658765,2331.59142952,53.3173552895,-4.60078421186,-6.12025091513,1.45520295956,-0.0669696313948
Fastball,BallCalled,Undefined,91.8353268375,2209.27478679,203.385869947,18.0452945407,7.8166761488,1.37243936516,0.201409438586
Fastball,StrikeCalled,Undefined,91.3970222567,2266.28168433,206.866200513,15.9118750906,8.07606021832,2.92489769388,-0.217257481309
Fastball,InPlay,Double,91.076279671,2194.88510211,201.961402904,16.4914190073,6.66230272561,3.08250311446,0.214332573606
Fastball,StrikeCalled,Undefined,91.5267083853,2237.70648278,212.508375255,15.5784665622,9.94708023718,2.23040065859,0.933140321369
Fastball,BallCalled,Undefined,90.9487170091,2166.96383066,215.24290261,15.6846980164,11.103639818,2.46841528278,1.61341136479
Curveball,StrikeCalled,Undefined,77.2148242225,2134.49290864,53.5966374192,-5.21050213647,-7.00818461407,2.88337210764,0.21521721924
Fastball,FoulBall,Undefined,91.1131529191,2150.61263221,208.314998285,14.1634792044,7.64729202907,2.79068556404,0.707377747054
Fastball,BallCalled,Undefined,92.1287237994,2087.9372361,201.952627999,17.444564637,7.04332801509,1.36204684441,-0.715352294073
Curveball,InPlay,Out,78.5549762562,2267.92988654,24.5671785794,-7.14164714838,-3.24573512724,1.33590768375,-0.13983978795
Fastball,StrikeCalled,Undefined,91.6097033112,2238.2089917,203.498957204,19.1305788357,8.33099187667,2.21864871725,-0.202149688
Fastball,BallCalled,Undefined,91.7762032098,2105.0724176,208.91237726,16.7870881166,9.28851639897,0.72196325291,-1.41894373101
ChangeUp,BallCalled,Undefined,83.7790677742,1623.49678397,229.445243126,10.3515223786,12.1388850514,0.709759067465,-0.974251227589
Fastball,InPlay,Out,91.2448082552,2208.20945531,207.520826232,17.7006005667,9.23841527545,1.16978547972,-0.100958881016
Fastball,FoulBall,Undefined,91.1161582106,2245.83811809,207.702385038,17.9424750843,9.43725657769,2.99015134003,0.22653113983
Curveball,BallCalled,Undefined,78.7112357812,2274.82682189,65.5922678023,-3.77408998057,-8.22412796128,1.28290430781,-0.241580390244
