11,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,TDs,YPG
12,Baylor,12,1-Nov,1064,6976,6.56,76,77,581.3
13,Marshall,13,1-Dec,957,7324,7.65,74,77,563.4
14,Oregon,13,1-Dec,966,7101,7.35,77,80,546.2
15,TCU,12,1-Nov,959,6506,6.78,64,71,542.2
16,East Carolina,12,4-Aug,969,6393,6.6,57,59,532.8
17,Western Ky.,12,5-Jul,912,6303,6.91,63,69,525.3
18,Washington St.,12,9-Mar,1014,6210,6.12,50,50,517.5
19,Ohio St.,13,1-Dec,937,6599,7.04,73,79,507.6
20,Mississippi St.,12,2-Oct,917,6074,6.62,56,60,506.2
21,Texas Tech,12,8-Apr,914,6049,6.62,48,49,504.1
22,West Virginia,12,5-Jul,1020,6025,5.91,41,45,502.1
23,Colorado St.,12,2-Oct,828,5974,7.21,57,57,497.8
24,Michigan St.,12,2-Oct,906,5958,6.58,64,68,496.5
25,Boise St.,13,2-Nov,991,6449,6.51,62,68,496.1
26,California,12,7-May,975,5942,6.09,59,61,495.2
27,Alabama,13,1-Dec,948,6376,6.73,62,63,490.5
28,Auburn,12,4-Aug,873,5870,6.72,51,54,489.2
29,Toledo,12,4-Aug,893,5836,6.54,52,52,486.3
30,Oklahoma,12,4-Aug,875,5766,6.59,56,61,480.5
31,Arkansas St.,12,5-Jul,961,5726,5.96,55,59,477.2
32,Georgia Tech,13,3-Oct,920,6094,6.62,59,65,468.8
33,UCLA,12,3-Sep,929,5615,6.04,45,50,467.9
34,Wisconsin,13,3-Oct,889,6043,6.8,57,57,464.8
35,Texas St.,12,5-Jul,920,5573,6.06,51,53,464.4
36,BYU,12,4-Aug,958,5550,5.79,55,57,462.5
37,Arizona,13,3-Oct,1033,5999,5.81,52,58,461.5
38,Cincinnati,12,3-Sep,875,5493,6.28,51,55,457.8
39,Georgia,12,3-Sep,800,5459,6.82,58,66,454.9
40,Southern California,12,4-Aug,911,5433,5.96,52,57,452.8
41,South Carolina,12,6-Jun,883,5410,6.13,48,50,450.8
42,Texas A&M,12,5-Jul,852,5391,6.33,53,54,449.3
43,Arizona St.,12,3-Sep,906,5358,5.91,50,55,446.5
44,Nebraska,12,3-Sep,852,5355,6.29,54,59,446.3
45,Navy,11,5-Jun,729,4900,6.72,50,51,445.5
46,Notre Dame,12,5-Jul,870,5335,6.13,50,51,444.6
47,Western Mich.,12,4-Aug,811,5320,6.56,52,54,443.3
48,Ole Miss,12,3-Sep,840,5319,6.33,45,49,443.3
49,Northern Ill.,13,2-Nov,995,5752,5.78,53,54,442.5
50,Colorado,12,10-Feb,996,5270,5.29,42,42,439.2
51,Buffalo,11,6-May,810,4820,5.95,48,49,438.2
52,Florida St.,13,13-0,880,5651,6.42,51,54,434.7
53,Pittsburgh,12,6-Jun,841,5211,6.2,48,48,434.3
54,UAB,12,6-Jun,941,5182,5.51,44,52,431.8
55,Middle Tenn.,12,6-Jun,873,5176,5.93,48,51,431.3
56,Miami (FL),12,6-Jun,764,5172,6.77,43,45,431
57,Bowling Green,13,6-Jul,1013,5561,5.49,43,47,427.8
58,Kansas St.,12,3-Sep,810,5112,6.31,49,53,426
59,North Carolina,12,6-Jun,919,5105,5.55,52,57,425.4
