Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Michigan,12,2-Oct,717,3150,4.39,25,27,262.5
2,Miami (FL),12,5-Jul,774,3220,4.16,21,23,268.3
3,Mississippi St.,12,4-Aug,778,3221,4.14,12,12,268.4
4,Clemson,13,13-0,881,3597,4.08,19,21,276.7
5,Southern Miss.,11,5-Jun,672,3062,4.56,23,27,278.4
6,Appalachian St.,13,2-Nov,845,3744,4.43,20,21,288
7,Iowa,12,4-Aug,763,3475,4.55,26,26,289.6
8,Cincinnati,12,2-Oct,764,3503,4.59,24,24,291.9
9,Army West Point,12,2-Oct,615,3522,5.73,27,28,293.5
10,Alabama,13,13-0,849,3840,4.52,24,25,295.4
11,UAB,13,3-Oct,802,3902,4.87,26,27,300.2
12,Washington,13,3-Oct,849,3923,4.62,21,22,301.8
13,Georgia,13,2-Nov,813,4045,4.98,28,29,311.2
14,Michigan St.,12,5-Jul,809,3738,4.62,21,23,311.5
15,Utah,13,4-Sep,886,4096,4.62,29,31,315.1
16,California,12,5-Jul,818,3833,4.69,25,31,319.4
17,Fresno St.,14,2-Dec,954,4503,4.72,23,23,321.6
18,BYU,12,6-Jun,815,3900,4.79,33,35,325
19,Wyoming,12,6-Jun,818,3914,4.78,32,33,326.2
20,San Diego St.,12,5-Jul,792,3929,4.96,31,32,327.4
21,Notre Dame,12,Dec-00,879,3978,4.53,22,24,331.5
22,Kentucky,12,3-Sep,762,3986,5.23,23,24,332.2
23,Marshall,12,4-Aug,847,4043,4.77,29,31,336.9
24,Virginia,12,5-Jul,756,4046,5.35,27,30,337.2
25,Charlotte,12,7-May,700,4048,5.78,37,42,337.3
26,TCU,12,6-Jun,843,4133,4.9,35,37,344.4
27,Florida,12,3-Sep,805,4137,5.14,28,29,344.8
28,Troy,12,3-Sep,828,4147,5.01,32,34,345.6
29,LSU,12,3-Sep,854,4153,4.86,30,31,346.1
30,Washington St.,12,2-Oct,772,4159,5.39,35,35,346.6
31,Northern Ill.,13,5-Aug,981,4522,4.61,29,31,347.8
32,Buffalo,13,3-Oct,874,4542,5.2,40,42,349.4
33,Louisiana Tech,12,5-Jul,814,4211,5.17,37,37,350.9
34,Iowa St.,12,4-Aug,832,4212,5.06,29,33,351
35,Eastern Mich.,13,6-Jul,922,4599,4.99,31,34,353.8
36,Texas A&M,12,4-Aug,716,4256,5.94,39,42,354.7
37,Penn St.,12,3-Sep,908,4259,4.69,28,31,354.9
38,Central Mich.,12,11-Jan,860,4264,4.96,39,42,355.3
39,Boise St.,13,3-Oct,820,4627,5.64,33,35,355.9
40,Temple,12,4-Aug,953,4280,4.49,37,39,356.7
41,Ga. Southern,13,3-Oct,851,4642,5.45,35,35,357.1
42,Wisconsin,12,5-Jul,774,4305,5.56,31,33,358.8
43,Air Force,12,7-May,732,4331,5.92,40,42,360.9
44,Auburn,12,5-Jul,832,4357,5.24,23,24,363.1
45,Georgia Tech,12,5-Jul,749,4413,5.89,42,46,367.8
46,Miami (OH),12,6-Jun,843,4418,5.24,40,42,368.2
47,North Texas,13,4-Sep,915,4870,5.32,38,38,374.6
48,Arkansas St.,12,4-Aug,788,4519,5.73,42,43,376.6
49,Tennessee,12,7-May,799,4529,5.67,41,42,377.4
50,Middle Tenn.,14,6-Aug,965,5290,5.48,44,47,377.9
51,Western Mich.,12,5-Jul,761,4536,5.96,50,53,378
52,Nevada,12,5-Jul,866,4539,5.24,41,45,378.3
53,Missouri,12,4-Aug,809,4548,5.62,30,34,379
54,Utah St.,13,2-Nov,986,4933,5,30,33,379.5
55,Colorado,12,7-May,871,4563,5.24,35,39,380.3
,NC State,12,3-Sep,799,4563,5.71,30,32,380.3
57,Texas St.,12,9-Mar,869,4607,5.3,34,39,383.9
