Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Oklahoma,13,1-Dec,859,7513,8.75,81,577.9
2,Ohio St.,13,1-Dec,1062,7134,6.72,70,548.8
3,UCF,12,Dec-00,925,6545,7.08,69,545.4
4,Memphis,13,5-Aug,946,6946,7.34,73,534.3
5,Clemson,13,13-0,935,6888,7.37,77,529.8
6,Houston,12,4-Aug,937,6343,6.77,72,528.6
7,Alabama,13,13-0,866,6859,7.92,77,527.6
8,West Virginia,11,3-Aug,796,5724,7.19,59,520.4
9,Ole Miss,12,7-May,860,6126,7.12,45,510.5
10,Oklahoma St.,12,6-Jun,931,6000,6.44,58,500
11,Utah St.,13,2-Nov,945,6466,6.84,69,497.4
12,Texas Tech,12,7-May,972,5822,5.99,54,485.2
13,Fla. Atlantic,12,7-May,930,5746,6.18,49,478.8
14,Georgia,13,2-Nov,859,6224,7.25,61,478.8
15,NC State,12,3-Sep,910,5656,6.22,51,471.3
16,Ohio,12,4-Aug,805,5647,7.01,62,470.6
17,Syracuse,12,3-Sep,988,5626,5.69,56,468.8
,Missouri,12,4-Aug,924,5626,6.09,51,468.8
19,Texas A&M,12,4-Aug,920,5590,6.08,47,465.8
20,Arkansas St.,12,4-Aug,887,5562,6.27,45,463.5
21,Washington St.,12,2-Oct,892,5542,6.21,59,461.8
22,North Texas,13,4-Sep,966,5987,6.2,53,460.5
23,Boise St.,13,3-Oct,979,5974,6.1,55,459.5
24,Purdue,12,6-Jun,844,5508,6.53,46,459
25,Cincinnati,12,2-Oct,906,5498,6.07,55,458.2
26,Arizona,12,7-May,881,5492,6.23,43,457.7
27,Nebraska,12,8-Apr,868,5474,6.31,44,456.2
28,Notre Dame,12,Dec-00,885,5473,6.18,50,456.1
29,Toledo,12,5-Jul,862,5382,6.24,58,448.5
30,Western Mich.,12,5-Jul,886,5366,6.06,50,447.2
31,Oregon,12,4-Aug,887,5351,6.03,56,445.9
32,South Fla.,12,5-Jul,883,5330,6.04,41,444.2
33,Wake Forest,12,6-Jun,977,5318,5.44,42,443.2
34,Nevada,12,5-Jul,855,5315,6.22,47,442.9
35,North Carolina,11,9-Feb,817,4863,5.95,33,442.1
36,Baylor,12,6-Jun,907,5300,5.84,41,441.7
37,South Carolina,12,5-Jul,828,5282,6.38,47,440.2
38,Massachusetts,12,8-Apr,821,5251,6.4,49,437.6
39,Hawaii,13,5-Aug,897,5652,6.3,52,434.8
40,Wisconsin,12,5-Jul,806,5198,6.45,46,433.2
41,Appalachian St.,13,2-Nov,859,5603,6.52,58,431
42,Old Dominion,12,8-Apr,905,5133,5.67,45,427.8
43,Michigan,12,2-Oct,829,5127,6.18,49,427.3
44,Virginia Tech,12,6-Jun,873,5123,5.87,44,426.9
45,Florida,12,3-Sep,826,5120,6.2,47,426.7
46,Penn St.,12,3-Sep,824,5092,6.18,52,424.3
47,Louisiana,14,7-Jul,901,5940,6.59,58,424.3
48,Fresno St.,14,2-Dec,941,5901,6.27,57,421.5
49,Temple,12,4-Aug,862,5043,5.85,45,420.3
50,Georgia Tech,12,5-Jul,815,5031,6.17,52,419.3
51,FIU,12,4-Aug,789,5021,6.36,49,418.4
