 


  
  

NCAA Football
Division FBSTotal Defense
Through Games 12/06/2014


"Rank","Name","G","W-L","Plays","YDS","Yds/Play","Off TDs","Opp TDs","YPG"
"1","Clemson","12","9-3","773","3115","4.03","22","26","259.6"
"2","Penn St.","12","6-6","783","3237","4.13","20","23","269.8"
"3","UCF","12","9-3","792","3394","4.29","23","25","282.8"
"4","Wisconsin","13","10-3","773","3682","4.76","30","31","283.2"
"5","Stanford","12","7-5","819","3449","4.21","22","23","287.4"
"6","Louisville","12","9-3","768","3519","4.58","22","27","293.3"
"7","Michigan St.","12","10-2","733","3522","4.80","30","31","293.5"
"8","LSU","12","8-4","768","3670","4.78","22","23","305.8"
"9","Florida","11","6-5","768","3421","4.45","23","28","311.0"
"10","Michigan","12","5-7","783","3736","4.77","27","31","311.3"
"11","Alabama","13","12-1","867","4061","4.68","20","22","312.4"
"12","Boston College","12","7-5","743","3754","5.05","30","30","312.8"
"13","Ole Miss","12","9-3","836","3854","4.61","16","18","321.2"
"14","Miami (FL)","12","6-6","831","3931","4.73","32","37","327.6"
"15","Ohio St.","13","12-1","891","4264","4.79","34","36","328.0"
"16","Central Mich.","12","7-5","775","3974","5.13","32","33","331.2"
"17","Virginia Tech","12","6-6","798","3980","4.99","26","28","331.7"
"18","Iowa","12","7-5","774","4014","5.19","31","35","334.5"
"19","Houston","12","7-5","838","4015","4.79","29","29","334.6"
"20","Georgia","12","9-3","834","4018","4.82","34","34","334.8"
"21","San Diego St.","12","7-5","812","4051","4.99","30","31","337.6"
"22","Memphis","12","9-3","868","4119","4.75","25","26","343.3"
"23","Missouri","13","10-3","939","4477","4.77","34","34","344.4"
"24","Arkansas","12","6-6","778","4145","5.33","29","32","345.4"
"25","Temple","12","6-6","876","4165","4.75","21","24","347.1"
"26","Texas","12","6-6","895","4180","4.67","27","35","348.3"
"27","Syracuse","12","3-9","838","4190","5.00","28","33","349.2"
"28","Pittsburgh","12","6-6","772","4191","5.43","38","40","349.3"
"29","Marshall","13","12-1","978","4574","4.68","34","34","351.8"
"30","Virginia","12","5-7","825","4238","5.14","30","36","353.2"
"31","Louisiana Tech","13","8-5","948","4624","4.88","36","39","355.7"
"32","San Jose St.","12","3-9","777","4287","5.52","41","45","357.3"
"33","TCU","12","11-1","889","4314","4.85","26","28","359.5"
"34","Tennessee","12","6-6","826","4319","5.23","35","37","359.9"
"35","Kansas St.","12","9-3","816","4334","5.31","32","34","361.2"
"36","Utah St.","13","9-4","977","4710","4.82","32","33","362.3"
"37","Minnesota","12","8-4","818","4352","5.32","34","36","362.7"
"38","FIU","12","4-8","812","4365","5.38","35","37","363.8"
"39","Boise St.","13","11-2","898","4764","5.31","39","43","366.5"
"40","Baylor","12","11-1","853","4412","5.17","35","37","367.7"
"41","Wake Forest","12","3-9","849","4431","5.22","32","38","369.3"
"42","North Texas","12","4-8","809","4433","5.48","41","48","369.4"
"43","East Carolina","12","8-4","866","4436","5.12","33","37","369.7"
"","UTSA","12","4-8","848","4436","5.23","32","36","369.7"
"45","UTEP","12","7-5","708","4438","6.27","42","46","369.8"
"46","Akron","12","5-7","859","4453","5.18","34","35","371.1"
"47","Western Mich.","12","8-4","808","4464","5.52","33","35","372.0"
"48","Nebraska","12","9-3","856","4473","5.23","35","38","372.8"
"49","NC State","12","7-5","845","4477","5.30","37","41","373.1"
"50","La.-Monroe","12","4-8","844","4479","5.31","38","41","373.3"
"51","Florida St.","13","13-0","927","4918","5.31","36","36","378.3"
"52","UConn","12","2-10","871","4543","5.22","39","45","378.6"
"53","Oklahoma","12","8-4","889","4587","5.16","34","38","382.3"
"54","Northern Ill.","13","11-2","922","4978","5.40","36","38","382.9"
"55","BYU","12","8-4","935","4610","4.93","37","37","384.2"
"56","Northwestern","12","5-7","878","4611","5.25","35","39","384.3"
"57","Tulane","12","3-9","824","4654","5.65","34","41","387.8"
"58","West Virginia","12","7-5","874","4663","5.34","32","36","388.6"
"59","Auburn","12","8-4","833","4664","5.60","40","41","388.7"
"60","South Alabama","12","6-6","837","4686","5.60","37","39","390.5"
"61","Ohio","12","6-6","848","4732","5.58","35","38","394.3"
"62","Air Force","12","9-3","831","4756","5.72","34","36","396.3"
"63","Georgia Tech","13","10-3","827","5153","6.23","39","40","396.4"
"64","Rice","12","7-5","794","4762","6.00","46","48","396.8"
"65","Buffalo","11","5-6","746","4375","5.86","46","47","397.7"
"66","Southern California","12","8-4","907","4778","5.27","35","37","398.2"
"67","Duke","12","9-3","916","4804","5.24","29","30","400.3"
"68","UCLA","12","9-3","921","4812","5.22","37","41","401.0"
"69","Notre Dame","12","7-5","886","4818","5.44","41","45","401.5"
"70","Vanderbilt","12","3-9","844","4825","5.72","42","50","402.1"
"71","South Fla.","12","4-8","849","4833","5.69","38","41","402.8"
"72","Toledo","12","8-4","849","4835","5.69","45","45","402.9"
"73","Utah","12","8-4","903","4837","5.36","34","39","403.1"
"74","Washington","13","8-5","992","5276","5.32","37","38","405.8"
"75","UAB","12","6-6","858","4873","5.68","42","49","406.1"
"76","Oregon St.","12","5-7","847","4875","5.76","44","47","406.3"
"77","Kentucky","12","5-7","888","4888","5.50","42","48","407.3"
"78","Arkansas St.","12","7-5","895","4935","5.51","45","45","411.3"
"79","Mississippi St.","12","10-2","904","4940","5.46","27","28","411.7"
"80","Oregon","13","12-1","997","5379","5.40","35","35","413.8"
