Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Oklahoma,13,1-Dec,898,7583,8.44,75,583.3
2,Oklahoma St.,12,3-Sep,944,6908,7.32,68,575.7
3,Louisville,12,4-Aug,889,6726,7.57,59,560.5
4,Memphis,12,2-Oct,882,6578,7.46,70,548.2
5,UCF,12,Dec-00,853,6485,7.6,74,540.4
6,Ohio St.,13,2-Nov,974,6807,6.99,71,523.6
7,Missouri,12,5-Jul,848,6138,7.24,58,511.5
8,Toledo,13,2-Nov,931,6629,7.12,60,509.9
9,South Fla.,11,2-Sep,919,5595,6.09,50,508.6
10,Colorado St.,12,5-Jul,894,6012,6.72,51,501
11,Arkansas St.,11,4-Jul,878,5475,6.24,51,497.7
12,Arizona,12,5-Jul,839,5934,7.07,62,494.5
13,SMU,12,5-Jul,898,5926,6.6,60,493.8
14,Fla. Atlantic,13,3-Oct,940,6395,6.8,66,491.9
15,Southern California,13,2-Nov,953,6364,6.68,54,489.5
16,West Virginia,12,5-Jul,890,5822,6.54,54,485.2
17,Texas Tech,12,6-Jun,906,5621,6.2,50,468.4
18,North Texas,13,4-Sep,958,6071,6.34,57,467
19,UCLA,12,6-Jun,873,5588,6.4,48,465.7
20,Alabama,12,1-Nov,807,5585,6.92,59,465.4
21,Ole Miss,12,6-Jun,804,5548,6.9,47,462.3
22,La.-Monroe,12,8-Apr,863,5496,6.37,49,458
23,Syracuse,12,8-Apr,1027,5476,5.33,36,456.3
24,Notre Dame,12,3-Sep,850,5459,6.42,53,454.9
25,Oregon,12,5-Jul,875,5452,6.23,56,454.3
26,Auburn,13,3-Oct,937,5902,6.3,52,454
27,New Mexico St.,12,6-Jun,915,5445,5.95,45,453.8
28,Penn St.,12,2-Oct,830,5439,6.55,63,453.3
29,Wake Forest,12,5-Jul,866,5409,6.25,49,450.8
30,NC State,12,4-Aug,909,5391,5.93,45,449.3
31,Clemson,13,1-Dec,978,5826,5.96,57,448.2
32,Washington St.,12,3-Sep,958,5357,5.59,43,446.4
33,Southern Miss.,12,4-Aug,882,5260,5.96,41,438.3
,Appalachian St.,12,4-Aug,816,5260,6.45,51,438.3
35,Houston,11,4-Jul,784,4797,6.12,39,436.1
36,Georgia,13,1-Dec,835,5637,6.75,57,433.6
37,Massachusetts,12,8-Apr,865,5194,6,45,432.8
38,Buffalo,12,6-Jun,828,5183,6.26,42,431.9
