Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Alabama,13,13-0,817,3222,3.94,14,15,247.8
2,Michigan,12,2-Oct,747,3032,4.06,16,18,252.7
3,Temple,13,3-Oct,780,3587,4.6,26,29,275.9
4,Army West Point,12,5-Jul,677,3379,4.99,27,29,281.6
5,Ohio St.,12,1-Nov,797,3388,4.25,15,18,282.3
6,Florida,12,4-Aug,751,3583,4.77,24,27,298.6
7,Wisconsin,13,3-Oct,798,3939,4.94,20,22,303
8,Boston College,12,6-Jun,734,3727,5.08,39,40,310.6
9,Clemson,13,1-Dec,886,4081,4.61,29,30,313.9
10,Washington,13,1-Dec,899,4110,4.57,27,27,316.2
11,Louisville,12,3-Sep,824,3795,4.61,33,35,316.3
12,San Diego St.,13,3-Oct,850,4162,4.9,33,36,320.2
13,LSU,11,4-Jul,731,3553,4.86,16,16,323
14,Houston,12,3-Sep,815,3900,4.79,32,33,325
15,Appalachian St.,12,3-Sep,805,3912,4.86,23,24,326
16,Georgia,12,5-Jul,742,3936,5.3,35,38,328
17,Colorado,13,3-Oct,910,4268,4.69,27,31,328.3
18,Southern Miss.,12,6-Jun,670,3971,5.93,44,47,330.9
19,Virginia Tech,13,4-Sep,890,4456,5.01,37,38,342.8
20,Auburn,12,4-Aug,857,4181,4.88,17,18,348.4
21,Nebraska,12,3-Sep,779,4207,5.4,33,35,350.6
22,Penn St.,13,2-Nov,935,4576,4.89,34,36,352
23,Minnesota,12,4-Aug,866,4231,4.89,33,34,352.6
24,Iowa,12,4-Aug,836,4234,5.06,26,27,352.8
25,Western Mich.,13,13-0,798,4589,5.75,31,32,353
26,Miami (OH),12,6-Jun,816,4257,5.22,34,37,354.8
27,Miami (FL),12,4-Aug,880,4263,4.84,25,26,355.3
28,NC State,12,6-Jun,813,4272,5.25,32,32,356
29,Florida St.,12,3-Sep,787,4286,5.45,35,37,357.2
30,Southern California,12,3-Sep,825,4308,5.22,33,34,359
31,Ohio,13,5-Aug,912,4721,5.18,33,34,363.2
32,BYU,12,4-Aug,781,4372,5.6,28,30,364.3
,Troy,12,3-Sep,867,4372,5.04,31,34,364.3
34,Tulane,12,8-Apr,816,4374,5.36,37,42,364.5
35,Michigan St.,12,9-Mar,792,4378,5.53,40,42,364.8
36,Stanford,12,3-Sep,818,4387,5.36,30,30,365.6
37,Western Ky.,13,3-Oct,933,4781,5.12,37,39,367.8
38,Air Force,12,3-Sep,772,4430,5.74,40,42,369.2
39,Wake Forest,12,6-Jun,831,4441,5.34,34,35,370.1
40,Louisiana,12,6-Jun,855,4447,5.2,33,35,370.6
41,Indiana,12,6-Jun,895,4471,5,35,40,372.6
42,Arkansas St.,12,5-Jul,868,4494,5.18,27,30,374.5
43,Central Mich.,12,6-Jun,803,4514,5.62,42,44,376.2
44,Old Dominion,12,3-Sep,836,4517,5.4,44,45,376.4
45,Notre Dame,12,8-Apr,842,4546,5.4,37,44,378.8
46,Boise St.,12,2-Oct,892,4552,5.1,27,31,379.3
47,Utah St.,12,9-Mar,872,4558,5.23,39,43,379.8
48,Georgia St.,12,9-Mar,931,4568,4.91,33,37,380.7
49,UCF,12,6-Jun,944,4580,4.85,35,36,381.7
50,UCLA,12,8-Apr,944,4584,4.86,33,37,382
51,Kansas St.,12,4-Aug,798,4586,5.75,33,33,382.2
52,South Alabama,12,6-Jun,827,4608,5.57,35,39,384
53,Kent St.,12,9-Mar,890,4638,5.21,40,43,386.5
,Utah,12,4-Aug,818,4638,5.67,33,36,386.5
55,Toledo,12,3-Sep,806,4739,5.88,36,37,394.9
56,Ga. Southern,12,7-May,801,4759,5.94,37,39,396.6
57,New Mexico,12,4-Aug,752,4768,6.34,51,52,397.3
58,UTSA,12,6-Jun,837,4800,5.73,40,43,400
59,Northwestern,12,6-Jun,913,4819,5.28,30,31,401.6
60,Colorado St.,12,5-Jul,811,4849,5.98,43,44,404.1
61,Illinois,12,9-Mar,877,4861,5.54,46,47,405.1
62,South Carolina,12,6-Jun,873,4886,5.6,35,38,407.2
63,Georgia Tech,12,4-Aug,837,4897,5.85,36,38,408.1
64,UConn,12,9-Mar,862,4929,5.72,39,43,410.8
65,Vanderbilt,12,6-Jun,832,4930,5.93,30,31,410.8
66,Idaho,12,4-Aug,827,4968,6.01,41,45,414
67,Duke,12,8-Apr,791,4976,6.29,40,43,414.7
68,Fresno St.,12,11-Jan,871,4981,5.72,46,48,415.1
69,Washington St.,12,4-Aug,812,4998,6.16,39,43,416.5
70,Louisiana Tech,13,5-Aug,957,5434,5.68,54,56,418
71,North Carolina,12,4-Aug,926,5022,5.42,38,38,418.5
72,UTEP,12,8-Apr,822,5032,6.12,49,53,419.3
73,Cincinnati,12,8-Apr,951,5074,5.34,35,39,422.8
74,TCU,12,6-Jun,941,5110,5.43,38,39,425.8
75,Arkansas,12,5-Jul,744,5144,6.91,46,49,428.7
76,Navy,13,4-Sep,886,5579,6.3,46,48,429.2
77,Oregon St.,12,8-Apr,894,5150,5.76,40,45,429.2
78,UNLV,12,8-Apr,879,5161,5.87,53,56,430.1
79,West Virginia,12,2-Oct,927,5174,5.58,31,33,431.2
80,North Texas,12,7-May,864,5184,6,45,49,432
81,Tulsa,12,3-Sep,941,5189,5.51,43,47,432.4
82,Maryland,12,6-Jun,905,5204,5.75,46,47,433.7
83,Baylor,12,6-Jun,943,5213,5.53,46,47,434.4
84,FIU,12,8-Apr,823,5215,6.34,48,55,434.6
85,Buffalo,12,10-Feb,881,5217,5.92,44,49,434.8
