PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top.Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,2019-03-21,18:02:40,1,1,"Fellows, Drake",8889833,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.5274187511,-2.65596699261,-4.29098170326,2229.78499612,226.829760596,01:30:00,5.21584789246,1.74126053957,7.00928195899,-18.0807861451,13.4640786383,14.3843366391,1.28668323362,-0.967269441547,84.005062633,-6.12754849345,-1.52387059606,0.404236805701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.39802350158,8.38502908398,-1.4842659439,50,5.04727771923,9.70177176138,-134.366048337,-6.72821736324,-17.0324267909,31.4689988744,-16.9775134564,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,6cc85f9f-4c2d-11e9-9ebb-74e5f9ab4644,93.2433068674,NA,NA,8.52235611813,-0.490508930222,1.07938632933,1.01603377806,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
2,2019-03-21,18:02:52,1,2,"Fellows, Drake",8889833,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.7886247469,-3.11629439205,-4.51550715037,2323.85693137,236.376122652,02:00:00,5.32174760052,1.67194549801,6.63698072256,-20.9872277088,10.1728508785,15.3415931578,0.708569542404,-1.19148848794,85.3384573629,-7.10753076707,-1.58742062102,0.401763788379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.86376281916,6.57893796009,-1.37321325568,50,5.10209651091,10.2942225345,-136.02699207,-8.04219579907,-18.3516421623,31.7930198638,-19.9338601552,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,74a1c3e1-4c2d-11e9-9ebb-74e5f9ab4644,93.8172568344,NA,NA,8.45016738402,-0.649633805216,0.44749929344,1.2463214988,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
3,2019-03-21,18:03:08,1,3,"Fellows, Drake",8889833,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,2,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.1183161989,-2.22000913049,-3.86500761807,2269.78095363,245.180702061,02:15:00,5.2230575394,1.70838075359,6.75100283023,-25.0362053444,6.91622341263,15.0198086884,1.10337433832,-0.575520425446,84.2039979349,-6.98492268059,-0.994383783163,0.4068398223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.47770294665,4.49196849146,-1.46099443419,50,5.06756820583,8.62167247787,-133.865711364,-5.90507923833,-17.1389930592,29.8256291124,-24.0510025789,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,7e25d331-4c2d-11e9-9ebb-74e5f9ab4644,92.6467234893,NA,NA,7.91431826399,-0.821519811132,0.824475878279,0.611584864059,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
4,2019-03-21,18:03:24,1,4,"Fellows, Drake",8889833,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,3,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,93.3623586473,-1.85441487578,-4.26746508051,2307.00240435,228.852916855,01:45:00,5.23489234461,1.59794315526,6.86212215258,-18.4362155026,12.6402924673,14.4992640185,2.00307695112,-1.09049744351,84.8317197501,-5.38598942838,-1.48822354253,0.401224666016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.38409115052,7.62566035486,-1.33185308717,50,5.10995887794,9.7197944941,-135.637211392,-4.91407660826,-17.3642633581,31.532349648,-18.0635745044,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,87a0598c-4c2d-11e9-9ebb-74e5f9ab4644,93.9433183293,NA,NA,8.53063889724,-2.22702410729,1.65025329552,1.17794451951,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
5,2019-03-21,18:03:39,1,5,"Fellows, Drake",8889833,Right,VAN_COM,"Young, Jacob",1000013691,Right,FLA_GAT,Windup,1,Top,0,3,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,NA,91.8143188345,-1.08687168843,-3.11189217593,2236.59804385,234.117682228,01:45:00,5.24726455059,1.7242468138,6.7510492432,-21.3705637457,10.7560337523,14.9102915878,2.47208232258,0.121662149352,83.6086512124,-5.17062480778,-0.257059147485,0.407947132199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.2185394994,6.3106625282,-1.52627320555,50,5.1676613898,6.84528525725,-133.593948701,-3.13695600842,-16.5731676272,30.1814824874,-20.8286865362,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,9093022e-4c2d-11e9-9ebb-74e5f9ab4644,92.3952481733,NA,NA,8.20566762208,3.21815588661,2.63254715904,-0.13152653163,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
6,2019-03-21,18:04:08,2,1,"Fellows, Drake",8889833,Right,VAN_COM,"McConnell, Brady",8898807,Right,FLA_GAT,Windup,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,83.3690965173,-0.165028929198,-2.16840467242,1819.17859385,186.95411593,12:15:00,5.60687125002,1.54042776004,6.47539738565,-36.3110554439,2.93497338465,0.36248457203,2.42931439966,-0.42130606126,76.4222254306,-7.04254910813,-2.09944130447,0.450888727303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.822101489574,1.66519621967,-1.38820268243,50,5.57901553038,4.58605318295,-121.378837462,-1.3336137975,-1.22266695158,24.4428375609,-29.6974925454,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,a1fec2f2-4c2d-11e9-9ebb-74e5f9ab4644,83.5957393448,NA,NA,6.94687108672,-2.5752276374,1.91456702982,0.567430932481,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
7,2019-03-21,18:04:21,2,2,"Fellows, Drake",8889833,Right,VAN_COM,"McConnell, Brady",8898807,Right,FLA_GAT,Windup,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,83.9400718691,-1.93876246436,-2.6961532588,1969.01229361,161.532958032,11:30:00,5.70792553644,1.51565283313,6.14001348325,-34.4090906249,5.05590515586,-1.70084068099,1.046346086,-1.11926540315,76.8033708942,-8.39963558276,-3.0181494829,0.452144808548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117711975153,3.33887844339,-1.30945509662,50,5.5423900152,5.7940707169,-121.990072643,-5.13288045421,0.176028810609,25.7071921531,-27.1810238417,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,a97d9358-4c2d-11e9-9ebb-74e5f9ab4644,83.3635061345,NA,NA,7.13670097483,-0.934991394112,0.691664401422,1.24360120521,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
8,2019-03-21,18:04:35,2,3,"Fellows, Drake",8889833,Right,VAN_COM,"McConnell, Brady",8898807,Right,FLA_GAT,Windup,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.8498592726,3.45158611776,0.19419325769,1892.5932897,94.5171962797,09:15:00,5.6064117346,1.54269345034,6.36709943607,-38.6467264523,0.190365840064,-2.87178180697,5.56542430871,1.48205075888,76.7471624769,-3.86469658674,-0.350217806157,0.448533486365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62677329976,-0.825760502059,-1.555344169,50,5.83742518246,-0.333036531069,-121.968971839,6.27516036381,2.45806448051,23.3016367888,-33.4217777636,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,b1ed2284-4c2d-11e9-9ebb-74e5f9ab4644,84.0346990066,NA,NA,7.10269679572,-3.51205661324,5.19844935082,-1.44939633641,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
9,2019-03-21,18:04:51,2,4,"Fellows, Drake",8889833,Right,VAN_COM,"McConnell, Brady",8898807,Right,FLA_GAT,Windup,1,Top,1,1,2,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,0,NA,85.0681528539,0.258777053783,-1.92889096138,1923.47748331,143.604104793,10:45:00,5.5600384497,1.53527077586,6.23718638086,-35.2988202384,3.37811822351,-2.51699656196,2.85728731017,-0.454243475478,76.5307169773,-6.4658029299,-2.41008410991,0.44760771462,95.1774412184,11.4332325091,8.80572023748,2239.403997,107.184867443,13.1430193969,24.7260691161,193.391384893,193.391384893,16.6541210839,1.78164672852,0.723174516715,1.76595135301,-1.39047299997,50,5.5620031458,4.23711397874,-123.677605201,-0.449035435942,1.09594928811,29.6291105817,-29.4978022515,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,bd3ad97e-4c2d-11e9-9ebb-74e5f9ab4644,84.2085051039,13.3059163081,1.78473391545,8.53743587657,1.50457088942,2.86724818627,0.450544427297,1.30137596621,2.84419213471,0.459097169006,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
10,2019-03-21,18:05:45,3,1,"Fellows, Drake",8889833,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Stretch,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.221521818,-1.43409675068,-5.69445379695,2270.82670237,228.913186131,01:45:00,5.31227540111,1.73402671471,6.98403855212,-19.6278892024,11.4041405102,13.1123485212,2.36584673073,-2.36838587808,84.9431808625,-5.19287090416,-3.18897093347,0.400937436769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.99620387788,6.81566285833,-1.38799906691,50,5.21697752582,13.1314033895,-135.223351616,-3.92969718742,-16.6111309412,30.2483649147,-19.5891994659,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,d8284736-4c2d-11e9-9ebb-74e5f9ab4644,94.0106187759,NA,NA,8.27834095553,-2.47432502953,2.00057212586,2.57775521269,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
11,2019-03-21,18:06:06,3,2,"Fellows, Drake",8889833,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Stretch,1,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,82.8964374372,-1.7903503842,-2.90262915534,1801.51312863,175.592222821,11:45:00,5.67402575562,1.64870650196,6.40089619238,-35.3856160097,5.02395098225,-0.390186612499,1.07637785651,-1.05501022829,75.1949926744,-8.49903310749,-2.97719638739,0.457523722178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.739762091454,3.36068959372,-1.44068736044,50,5.52954020516,6.11752684123,-120.444459371,-4.72484721171,-1.06780068428,27.1866458413,-27.3231016246,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,e811e289-4c2d-11e9-9ebb-74e5f9ab4644,82.3834365171,NA,NA,7.70144476288,-1.95691073256,0.556397605193,1.23063289438,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
12,2019-03-21,18:06:33,3,3,"Fellows, Drake",8889833,Right,VAN_COM,"Maldonado, Nelson",8894274,Right,FLA_GAT,Stretch,1,Top,1,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.6688384733,-3.2056302757,-3.40995705318,2330.98318801,213.607689734,01:00:00,5.37771649573,1.8420168514,6.79883712233,-14.332275105,17.3213727346,11.5314230035,1.24985499401,-0.312421447901,84.1821613872,-5.94482756135,-1.19890239161,0.404933214916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.46391391374,10.636865271,-1.625884248,50,5.16458413178,7.69908234647,-134.602727504,-7.95140012199,-13.5875956403,31.3263378938,-12.8102903656,VAN_COM,FLA_GAT,Vanderbilt,NCAA,SEC,20190321-Vanderbilt-1,f300411c-4c2d-11e9-9ebb-74e5f9ab4644,93.0829458604,NA,NA,8.48667708611,-1.53470585354,0.937786402261,0.370427818496,NA,NA,NA,10447a8b-4c27-11e9-9ebb-74e5f9ab4644
