TaggedPitchType,AutoPitchType,RelSpeed,SpinRate,SpinAxis,Tilt,VertBreak,HorzBreak
Fastball,Fastball,89.81,2049.11,204.14,0.53,-15.08,9.22
Fastball,Fastball,87.89,2125.67,207.36,0.04,-19.87,8.84
Curveball,ChangeUp,78.34,1215.87,271.11,0.13,-46.60,2.81
Undefined,Fastball,89.41,2125.82,210.09,0.04,-19.03,9.59
Undefined,Fastball,89.48,2140.30,218.24,0.05,-21.26,11.22
Undefined,Fastball,89.38,2164.40,206.33,0.04,-20.30,7.56
Undefined,Fastball,88.62,2212.70,221.24,0.05,-22.84,11.76
Undefined,Fastball,88.84,2172.09,185.98,0.51,-19.91,1.74
Curveball,Slider,79.85,1653.47,214.25,0.05,-39.97,3.46
Undefined,Fastball,89.53,2138.62,217.34,0.05,-23.66,8.64
Undefined,Fastball,89.07,2097.94,206.36,0.04,-21.63,6.98
Undefined,Fastball,88.61,2213.05,220.83,0.05,-24.59,9.70
Fastball,Fastball,89.38,2177.05,194.73,0.52,-20.74,3.84
Fastball,Fastball,88.79,2194.97,213.68,0.04,-21.94,9.24
Undefined,Fastball,86.41,2189.96,213.81,0.05,-21.76,11.22
Undefined,Slider,77.37,929.03,180.00,0.50,-46.20,0.00
Fastball,Fastball,87.91,2102.50,219.98,0.05,-22.73,11.44
ChangeUp,Slider,78.10,998.27,186.80,0.51,-44.53,0.34
Fastball,Fastball,90.23,2155.56,192.80,0.52,-16.96,3.91
Fastball,Fastball,89.22,2228.60,210.15,0.04,-18.43,9.69
Splitter,ChangeUp,79.06,2039.50,277.24,0.14,-46.09,3.84
Fastball,Fastball,88.69,2220.69,213.96,0.05,-17.64,12.13
Fastball,Fastball,86.39,2091.27,209.91,0.04,-22.29,8.75
Undefined,Fastball,88.62,2244.40,212.81,0.04,-16.23,12.82
Fastball,Fastball,87.20,2187.04,194.23,0.52,-17.71,4.80
Fastball,Fastball,88.63,2267.59,202.49,0.53,-16.88,7.72
Fastball,Fastball,88.19,2238.97,211.63,0.04,-19.35,10.05
Fastball,Fastball,87.17,2193.22,204.71,0.53,-20.15,7.73
Fastball,Fastball,86.84,2185.83,210.41,0.04,-19.02,11.15
Splitter,ChangeUp,76.12,1392.23,259.18,0.11,-47.66,9.09
Splitter,ChangeUp,78.08,1368.19,258.62,0.10,-44.49,9.30
Fastball,Fastball,87.93,2226.21,198.91,0.53,-18.50,6.14
Fastball,Fastball,87.11,2008.46,214.98,0.05,-25.52,7.99
Fastball,Fastball,86.05,2094.89,204.49,0.53,-21.56,7.67
Other,Slider,76.61,957.22,201.29,0.53,-47.31,0.86
Fastball,Fastball,87.01,2070.23,216.87,0.05,-23.69,10.10
Fastball,Fastball,86.81,2120.46,209.22,0.04,-22.89,7.98
Fastball,Fastball,87.25,2140.47,208.77,0.04,-23.88,7.19
Fastball,Fastball,86.85,2104.10,206.89,0.04,-17.17,10.32
Fastball,Fastball,86.30,2040.11,210.87,0.04,-23.27,8.84
Fastball,Fastball,87.38,2096.06,195.57,0.52,-21.94,4.28
Fastball,Fastball,86.70,2125.38,213.64,0.04,-23.05,9.68
Other,Slider,77.38,2746.36,180.86,0.50,-39.63,0.12
Fastball,Fastball,87.46,2093.03,208.41,0.04,-19.39,9.54
Fastball,Fastball,87.26,2136.28,199.37,0.53,-17.33,6.99
Fastball,Fastball,87.05,2185.35,207.25,0.04,-20.06,8.96
Splitter,Slider,79.10,2276.68,224.70,0.06,-41.24,4.17
