 


  
  

NCAA Football
Division FBSTotal Offense
Through Games 12/06/2014


"Rank","Name","G","W-L","Plays","YDS","Yds/Play","Off TDs","TDs","YPG"
"1","Baylor","12","11-1","1064","6976","6.56","76","77","581.3"
"2","Marshall","13","12-1","957","7324","7.65","74","77","563.4"
"3","Oregon","13","12-1","966","7101","7.35","77","80","546.2"
"4","TCU","12","11-1","959","6506","6.78","64","71","542.2"
"5","East Carolina","12","8-4","969","6393","6.60","57","59","532.8"
"6","Western Ky.","12","7-5","912","6303","6.91","63","69","525.3"
"7","Washington St.","12","3-9","1014","6210","6.12","50","50","517.5"
"8","Ohio St.","13","12-1","937","6599","7.04","73","79","507.6"
"9","Mississippi St.","12","10-2","917","6074","6.62","56","60","506.2"
"10","Texas Tech","12","4-8","914","6049","6.62","48","49","504.1"
"11","West Virginia","12","7-5","1020","6025","5.91","41","45","502.1"
"12","Colorado St.","12","10-2","828","5974","7.21","57","57","497.8"
"13","Michigan St.","12","10-2","906","5958","6.58","64","68","496.5"
"14","Boise St.","13","11-2","991","6449","6.51","62","68","496.1"
"15","California","12","5-7","975","5942","6.09","59","61","495.2"
"16","Alabama","13","12-1","948","6376","6.73","62","63","490.5"
"17","Auburn","12","8-4","873","5870","6.72","51","54","489.2"
"18","Toledo","12","8-4","893","5836","6.54","52","52","486.3"
"19","Oklahoma","12","8-4","875","5766","6.59","56","61","480.5"
"20","Arkansas St.","12","7-5","961","5726","5.96","55","59","477.2"
"21","Georgia Tech","13","10-3","920","6094","6.62","59","65","468.8"
"22","UCLA","12","9-3","929","5615","6.04","45","50","467.9"
"23","Wisconsin","13","10-3","889","6043","6.80","57","57","464.8"
"24","Texas St.","12","7-5","920","5573","6.06","51","53","464.4"
"25","BYU","12","8-4","958","5550","5.79","55","57","462.5"
"26","Arizona","13","10-3","1033","5999","5.81","52","58","461.5"
"27","Cincinnati","12","9-3","875","5493","6.28","51","55","457.8"
"28","Georgia","12","9-3","800","5459","6.82","58","66","454.9"
"29","Southern California","12","8-4","911","5433","5.96","52","57","452.8"
"30","South Carolina","12","6-6","883","5410","6.13","48","50","450.8"
"31","Texas A&M","12","7-5","852","5391","6.33","53","54","449.3"
"32","Arizona St.","12","9-3","906","5358","5.91","50","55","446.5"
"33","Nebraska","12","9-3","852","5355","6.29","54","59","446.3"
"34","Navy","11","6-5","729","4900","6.72","50","51","445.5"
"35","Notre Dame","12","7-5","870","5335","6.13","50","51","444.6"
"36","Western Mich.","12","8-4","811","5320","6.56","52","54","443.3"
"37","Ole Miss","12","9-3","840","5319","6.33","45","49","443.3"
"38","Northern Ill.","13","11-2","995","5752","5.78","53","54","442.5"
"39","Colorado","12","2-10","996","5270","5.29","42","42","439.2"
"40","Buffalo","11","5-6","810","4820","5.95","48","49","438.2"
"41","Florida St.","13","13-0","880","5651","6.42","51","54","434.7"
"42","Pittsburgh","12","6-6","841","5211","6.20","48","48","434.3"
"43","UAB","12","6-6","941","5182","5.51","44","52","431.8"
"44","Middle Tenn.","12","6-6","873","5176","5.93","48","51","431.3"
"45","Miami (FL)","12","6-6","764","5172","6.77","43","45","431.0"
"46","Bowling Green","13","7-6","1013","5561","5.49","43","47","427.8"
"47","Kansas St.","12","9-3","810","5112","6.31","49","53","426.0"
"48","North Carolina","12","6-6","919","5105","5.55","52","57","425.4"
"49","Air Force","12","9-3","928","5082","5.48","45","45","423.5"
"50","Memphis","12","9-3","915","5072","5.54","47","51","422.7"
"51","Massachusetts","12","3-9","879","5053","5.75","43","45","421.1"
"52","New Mexico St.","12","2-10","921","5051","5.48","38","39","420.9"
"53","Louisiana","12","8-4","844","5015","5.94","45","46","417.9"
"54","Fresno St.","13","6-7","1016","5430","5.34","47","49","417.7"
"55","Idaho","11","1-10","881","4592","5.21","35","35","417.5"
"56","Nevada","12","7-5","909","4956","5.45","45","48","413.0"
"57","Tulsa","12","2-10","958","4950","5.17","34","37","412.5"
"58","Arkansas","12","6-6","843","4927","5.84","49","52","410.6"
"59","Clemson","12","9-3","911","4921","5.40","39","43","410.1"
"60","Houston","12","7-5","880","4897","5.56","41","44","408.1"
"61","Indiana","12","4-8","852","4860","5.70","36","37","405.0"
"62","Louisiana Tech","13","8-5","898","5250","5.85","58","63","403.8"
"63","NC State","12","7-5","812","4824","5.94","46","47","402.0"
"64","San Diego St.","12","7-5","806","4801","5.96","35","37","400.1"
"65","New Mexico","12","4-8","735","4794","6.52","41","45","399.5"
"66","Iowa","12","7-5","885","4780","5.40","39","43","398.3"
"67","Duke","12","9-3","886","4778","5.39","44","48","398.2"
"68","Louisville","12","9-3","868","4755","5.48","47","49","396.3"
"69","San Jose St.","12","3-9","904","4734","5.24","27","28","394.5"
"70","Rice","12","7-5","857","4727","5.52","43","44","393.9"
"71","Oregon St.","12","5-7","848","4722","5.57","34","36","393.5"
"72","Washington","13","8-5","942","5072","5.38","40","49","390.2"
"73","UNLV","13","2-11","964","5036","5.22","34","34","387.4"
"74","Stanford","12","7-5","787","4638","5.89","36","38","386.5"
"75","Kentucky","12","5-7","849","4622","5.44","35","41","385.2"
"76","Boston College","12","7-5","812","4606","5.67","40","41","383.8"
"77","LSU","12","8-4","845","4601","5.44","39","42","383.4"
"78","Utah St.","13","9-4","849","4956","5.84","39","46","381.2"
"79","Wyoming","12","4-8","823","4571","5.55","29","31","380.9"
"80","Central Mich.","12","7-5","812","4568","5.63","39","40","380.7"
"81","Rutgers","12","7-5","784","4546","5.80","38","38","378.8"
"82","Miami (OH)","12","2-10","826","4504","5.45","34","35","375.3"
"","Georgia St.","12","1-11","836","4504","5.39","36","36","375.3"
"84","Utah","12","8-4","866","4497","5.19","35","43","374.8"
"85","Virginia","12","5-7","883","4490","5.08","31","35","374.2"
"86","Akron","12","5-7","891","4479","5.03","32","33","373.3"
"87","South Alabama","12","6-6","874","4473","5.12","29","30","372.8"
"88","Iowa St.","12","2-10","912","4470","4.90","33","35","372.5"
"89","Oklahoma St.","12","6-6","831","4452","5.36","34","39","371.0"
"90","Ohio","12","6-6","845","4443","5.26","27","28","370.3"
"91","Florida","11","6-5","770","4072","5.29","37","40","370.2"
"92","Army West Point","11","4-7","718","4070","5.67","36","39","370.0"
"93","Ball St.","12","5-7","857","4431","5.17","35","37","369.3"
"94","Virginia Tech","12","6-6","894","4415","4.94","29","33","367.9"
"95","Southern Miss.","12","3-9","858","4380","5.10","23","25","365.0"
"96","Hawaii","13","4-9","993","4737","4.77","30","31","364.4"
"97","Troy","12","3-9","817","4359","5.34","30","33","363.3"
"98","Fla. Atlantic","12","3-9","808","4357","5.39","32","35","363.1"
"99","Tennessee","12","6-6","904","4356","4.82","37","39","363.0"
"100","UCF","12","9-3","861","4354","5.06","39","40","362.8"
"101","Missouri","13","10-3","890","4704","5.29","38","44","361.8"
"102","Texas","12","6-6","849","4326","5.10","31","33","360.5"
"103","Illinois","12","6-6","803","4323","5.38","39","43","360.3"
"104","UTEP","12","7-5","790","4284","5.42","39","44","357.0"
"105","Minnesota","12","8-4","787","4272","5.43","42","46","356.0"
"106","Northwestern","12","5-7","941","4237","4.50","30","33","353.1"
"107","Maryland","12","7-5","792","4225","5.33","38","42","352.1"
"108","La.-Monroe","12","4-8","892","4193","4.70","24","26","349.4"
"109","Tulane","12","3-9","862","4161","4.83","24","24","346.8"
"110","Purdue","12","3-9","836","4135","4.95","33","34","344.6"
"111","Michigan","12","5-7","751","3996","5.32","27","29","333.0"
"112","Syracuse","12","3-9","807","3951","4.90","18","22","329.3"
"113","North Texas","12","4-8","803","3911","4.87","34","40","325.9"
"114","Penn St.","12","6-6","869","3906","4.49","22","24","325.5"
"115","Kansas","12","3-9","842","3889","4.62","25","27","324.1"
"116","Kent St.","11","2-9","719","3470","4.83","22","22","315.5"
"117","Temple","12","6-6","772","3701","4.79","24","33","308.4"
"118","South Fla.","12","4-8","740","3656","4.94","22","24","304.7"
"119","UTSA","12","4-8","796","3570","4.48","22","22","297.5"
"120","FIU","12","4-8","812","3518","4.33","26","33","293.2"
"121","Eastern Mich.","12","2-10","779","3475","4.46","22","23","289.6"
"122","Vanderbilt","12","3-9","740","3465","4.68","20","26","288.8"
"123","UConn","12","2-10","736","3315","4.50","20","23","276.3"
"124","SMU","12","1-11","792","3228","4.08","15","15","269.0"
"125","Wake Forest","12","3-9","768","2595","3.38","16","19","216.3"
Reclassifying
"NR","Ga. Southern","12","9-3","797","5859","7.35","62","64","488.3"
"NR","Charlotte","11","5-6","791","5356","6.77","49","53","486.9"
"NR","Appalachian St.","12","7-5","877","5538","6.31","54","58","461.5"
"NR","Old Dominion","12","6-6","823","5303","6.44","52","54","441.9"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
