Rank,Name,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Texas Tech,12,7-May,1042,6774,6.5,69,564.5
2,Louisville,12,3-Sep,899,6705,7.46,69,558.8
3,Oklahoma,12,2-Oct,886,6688,7.55,68,557.3
4,Toledo,12,3-Sep,881,6357,7.22,59,529.8
5,Baylor,12,6-Jun,1025,6280,6.13,54,523.3
6,Tulsa,12,3-Sep,1029,6270,6.09,60,522.5
7,Western Ky.,13,3-Oct,880,6726,7.64,70,517.4
8,Louisiana Tech,13,5-Aug,887,6709,7.56,67,516.1
9,Middle Tenn.,12,4-Aug,899,6188,6.88,60,515.7
10,South Fla.,12,2-Oct,848,6181,7.29,68,515.1
11,California,12,7-May,1035,6158,5.95,53,513.2
12,West Virginia,12,2-Oct,918,6083,6.63,48,506.9
13,Clemson,13,1-Dec,1036,6574,6.35,66,505.7
14,Missouri,12,8-Apr,948,6006,6.34,49,500.5
15,Washington St.,12,4-Aug,952,5971,6.27,62,497.6
16,Western Mich.,13,13-0,953,6457,6.78,67,496.7
17,Oklahoma St.,12,3-Sep,882,5905,6.7,56,492.1
18,Oregon,12,8-Apr,892,5900,6.61,57,491.7
19,Texas,12,7-May,999,5895,5.9,48,491.3
20,Boise St.,12,2-Oct,810,5758,7.11,56,479.8
21,Ohio St.,12,1-Nov,936,5754,6.15,59,479.5
22,Washington,13,1-Dec,870,6203,7.13,70,477.2
23,TCU,12,6-Jun,924,5700,6.17,45,475
24,Florida St.,12,3-Sep,877,5692,6.49,52,474.3
25,Southern Miss.,12,6-Jun,948,5665,5.98,48,472.1
26,Alabama,13,13-0,926,6127,6.62,53,471.3
27,New Mexico,12,4-Aug,809,5643,6.98,56,470.3
28,Southern California,12,3-Sep,881,5627,6.39,45,468.9
29,Texas A&M,12,4-Aug,877,5617,6.4,49,468.1
30,East Carolina,12,9-Mar,958,5605,5.85,39,467.1
31,Ole Miss,12,7-May,905,5572,6.16,44,464.3
32,Northern Ill.,12,7-May,949,5565,5.86,47,463.8
33,Memphis,12,4-Aug,883,5537,6.27,53,461.4
34,Houston,12,3-Sep,1009,5510,5.46,52,459.2
35,Eastern Mich.,12,5-Jul,914,5447,5.96,44,453.9
36,Air Force,12,3-Sep,904,5418,5.99,48,451.5
37,Colorado St.,12,5-Jul,834,5412,6.49,52,451
38,Auburn,12,4-Aug,861,5391,6.26,43,449.3
39,Ball St.,12,8-Apr,955,5390,5.64,39,449.2
40,Mississippi St.,12,7-May,883,5388,6.1,46,449
41,Virginia Tech,13,4-Sep,1009,5827,5.78,53,448.2
42,Pittsburgh,12,4-Aug,805,5370,6.67,61,447.5
43,Colorado,13,3-Oct,1037,5802,5.59,50,446.3
44,North Carolina,12,4-Aug,784,5309,6.77,48,442.4
45,Syracuse,12,8-Apr,971,5290,5.45,39,440.8
46,Michigan,12,2-Oct,870,5272,6.06,59,439.3
47,Wyoming,13,5-Aug,927,5710,6.16,57,439.2
48,Troy,12,3-Sep,905,5263,5.82,49,438.6
49,Arkansas,12,5-Jul,858,5255,6.12,44,437.9
50,Tennessee,12,4-Aug,820,5247,6.4,54,437.3
51,Navy,13,4-Sep,839,5677,6.77,64,436.7
52,Old Dominion,12,3-Sep,815,5207,6.39,55,433.9
53,Indiana,12,6-Jun,913,5197,5.69,36,433.1
54,Miami (FL),12,4-Aug,793,5174,6.52,47,431.2
55,Appalachian St.,12,3-Sep,830,5173,6.23,42,431.1
56,Penn St.,13,2-Nov,869,5591,6.43,56,430.1
57,Kentucky,12,5-Jul,802,5139,6.41,45,428.3
58,Utah,12,4-Aug,893,5129,5.74,39,427.4
59,SMU,12,7-May,934,5127,5.49,36,427.3
60,LSU,11,4-Jul,687,4683,6.82,39,425.7
61,Iowa St.,12,9-Mar,856,5059,5.91,39,421.6
62,NC State,12,6-Jun,875,5037,5.76,39,419.8
