Rank,Name,W,L,T,Pct
1,UCF,12,0,0,1
2,Clemson,12,1,0,0.923
,Georgia,12,1,0,0.923
,Wisconsin,12,1,0,0.923
,Oklahoma,12,1,0,0.923
6,Alabama,11,1,0,0.917
7,Toledo,11,2,0,0.846
,Ohio St.,11,2,0,0.846
,Southern California,11,2,0,0.846
10,Penn St.,10,2,0,0.833
,San Diego St.,10,2,0,0.833
,Troy,10,2,0,0.833
,Miami (FL),10,2,0,0.833
,Memphis,10,2,0,0.833
,Washington,10,2,0,0.833
16,South Fla.,9,2,0,0.818
17,Fla. Atlantic,10,3,0,0.769
,TCU,10,3,0,0.769
,Auburn,10,3,0,0.769
,Boise St.,10,3,0,0.769
21,Northwestern,9,3,0,0.75
,Notre Dame,9,3,0,0.75
,Oklahoma St.,9,3,0,0.75
,Virginia Tech,9,3,0,0.75
,Army West Point,9,3,0,0.75
,LSU,9,3,0,0.75
,Washington St.,9,3,0,0.75
,Michigan St.,9,3,0,0.75
29,Stanford,9,4,0,0.692
,Fresno St.,9,4,0,0.692
,North Texas,9,4,0,0.692
32,Michigan,8,4,0,0.667
,Southern Miss.,8,4,0,0.667
,Mississippi St.,8,4,0,0.667
,NC State,8,4,0,0.667
,Northern Ill.,8,4,0,0.667
,South Carolina,8,4,0,0.667
,Ohio,8,4,0,0.667
,FIU,8,4,0,0.667
,Louisville,8,4,0,0.667
,Central Mich.,8,4,0,0.667
,UAB,8,4,0,0.667
,Appalachian St.,8,4,0,0.667
44,Houston,7,4,0,0.636
,Arkansas St.,7,4,0,0.636
46,Missouri,7,5,0,0.583
,Wyoming,7,5,0,0.583
,Oregon,7,5,0,0.583
,Boston College,7,5,0,0.583
,SMU,7,5,0,0.583
,Colorado St.,7,5,0,0.583
,Texas A&M,7,5,0,0.583
,Arizona St.,7,5,0,0.583
,Iowa,7,5,0,0.583
,Iowa St.,7,5,0,0.583
,Kansas St.,7,5,0,0.583
,Kentucky,7,5,0,0.583
,Wake Forest,7,5,0,0.583
,Marshall,7,5,0,0.583
,Arizona,7,5,0,0.583
,West Virginia,7,5,0,0.583
62,UTSA,6,5,0,0.545
,Georgia St.,6,5,0,0.545
64,Akron,7,6,0,0.538
65,Utah St.,6,6,0,0.5
,Utah,6,6,0,0.5
,UCLA,6,6,0,0.5
,Texas,6,6,0,0.5
,Texas Tech,6,6,0,0.5
,Temple,6,6,0,0.5
,Purdue,6,6,0,0.5
,New Mexico St.,6,6,0,0.5
,Navy,6,6,0,0.5
,Ole Miss,6,6,0,0.5
,Middle Tenn.,6,6,0,0.5
,Louisiana Tech,6,6,0,0.5
,Western Mich.,6,6,0,0.5
,Western Ky.,6,6,0,0.5
,Virginia,6,6,0,0.5
,Duke,6,6,0,0.5
,Florida St.,6,6,0,0.5
,Buffalo,6,6,0,0.5
83,Georgia Tech,5,6,0,0.455
84,Tulane,5,7,0,0.417
,UNLV,5,7,0,0.417
,Colorado,5,7,0,0.417
,Vanderbilt,5,7,0,0.417
,Eastern Mich.,5,7,0,0.417
,Louisiana,5,7,0,0.417
,California,5,7,0,0.417
,Air Force,5,7,0,0.417
,Minnesota,5,7,0,0.417
,Miami (OH),5,7,0,0.417
,Pittsburgh,5,7,0,0.417
,Old Dominion,5,7,0,0.417
,Indiana,5,7,0,0.417
97,Florida,4,7,0,0.364
98,Nebraska,4,8,0,0.333
,La.-Monroe,4,8,0,0.333
,Rutgers,4,8,0,0.333
,South Alabama,4,8,0,0.333
,Tennessee,4,8,0,0.333
,Syracuse,4,8,0,0.333
,Massachusetts,4,8,0,0.333
,Cincinnati,4,8,0,0.333
,Idaho,4,8,0,0.333
,Maryland,4,8,0,0.333
,Arkansas,4,8,0,0.333
109,BYU,4,9,0,0.308
110,UConn,3,9,0,0.25
,Nevada,3,9,0,0.25
,East Carolina,3,9,0,0.25
,New Mexico,3,9,0,0.25
,North Carolina,3,9,0,0.25
,Hawaii,3,9,0,0.25
116,Ball St.,2,10,0,0.167
,Illinois,2,10,0,0.167
,Tulsa,2,10,0,0.167
,Kent St.,2,10,0,0.167
,Bowling Green,2,10,0,0.167
,Texas St.,2,10,0,0.167
,Ga. Southern,2,10,0,0.167
123,San Jose St.,2,11,0,0.154
124,Kansas,1,11,0,0.083
,Oregon St.,1,11,0,0.083
,Rice,1,11,0,0.083
,Baylor,1,11,0,0.083
,Charlotte,1,11,0,0.083
129,UTEP,0,12,0,0
Reclassifying,,,,,
NR,Liberty,6,5,0,0.545
NR,Coastal Caro.,3,9,0,0.25
,,,,,
,,,,,
"      <script type=""text/javascript"">",,,,,
"var gaJsHost = ((""https:"" == document.location.protocol) ? ""https://ssl."" : ""http://www."");document.write(unescape(""%3Cscript src='"" + gaJsHost + ""google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E""));",,,,,
</script>,,,,,
"<script type=""text/javascript"">",,,,,
try {,,,,,
"var pageTracker = _gat._getTracker(""UA-2045383-4"");                        ",,,,,
pageTracker._trackPageview();                                              ,,,,,
} catch(err) {},,,,,
</script>,,,,,
,,,,,
      ,,,,,
