BatterSide,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,RelSpeed,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ
Right,0,0,0,Fastball,Fastball,StrikeCalled,90.6594822,1954.629168,202.5557014,12:45:00,5.971770487,0.760972501,6.369767597,-14.98849774,18.20122336,7.572894009,2.976486349,0.039541026,83.06243032,-4.730424428,-0.033574328,0.414642028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.554050549,10.49997799,-0.658571455,50,5.827880885,3.157582389,-131.9900691,-4.825625361,-8.049091448,27.59190147,-13.6157822,90.90341544,NA,NA,7.597051874,-2.289603563,2.662334048,-0.041138321,NA,NA,NA
Right,0,0,1,Fastball,Fastball,BallCalled,90.92461625,1986.78084,198.6775155,12:30:00,5.796102506,0.517150706,6.4810971,-14.73241047,18.00553537,6.097068424,0.536419113,0.256734796,84.18846745,-7.142794682,0.316908612,0.411810325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.557756216,10.98136989,-0.461189147,50,5.481399121,1.749516433,-132.1837319,-10.57086875,-6.362274346,25.34099397,-12.53625335,91.52848828,NA,NA,6.736148804,0.584103827,0.431721486,-0.26149018,NA,NA,NA
Right,0,1,1,Fastball,Fastball,BallCalled,90.49447344,1895.181015,201.2803926,12:45:00,5.849350905,0.627323513,6.230522182,-20.28975513,12.80488611,4.999488537,4.017702453,-0.363377532,83.80953209,-3.962372641,-0.5852714,0.414047682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.082266714,7.003504164,-0.516170625,50,5.827700684,3.355100916,-131.8937732,-0.988082284,-5.507199288,24.29020177,-19.66063011,91.0339031,NA,NA,6.684941352,-2.122180573,3.763624979,0.39732503,NA,NA,NA
Right,0,2,1,Fastball,Fastball,FoulBall,90.36676754,1995.791271,201.7432149,12:45:00,5.811852848,0.699047636,6.428742102,-15.89816466,17.50180681,6.992634908,1.590587486,0.424032968,82.87983617,-6.147883079,0.394974999,0.415953293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.100374358,10.48673206,-0.635936635,50,5.580605952,1.933694431,-131.4695348,-7.704586057,-7.184984213,27.56377128,-13.79840825,90.61684858,NA,NA,7.486931374,1.86520478,1.638787314,-0.42099162,NA,NA,NA
Right,0,2,2,Fastball,Fastball,InPlay,91.45076094,1990.941281,189.4619507,12:15:00,5.837627917,0.367006456,6.411170202,-16.09365666,16.19472343,2.70407215,2.215516302,-0.44451174,84.67227626,-5.504008133,-0.617045987,0.408973009,85.04726779,32.1944751,25.46606659,4600.579483,94.21427211,57.40260125,56.77658962,285.8546293,281.2563486,41.0252163,4.382276001,-1.75628091,9.478302704,-0.287779622,50,5.653049134,2.539588969,-133.2001904,-6.259093893,-3.193637336,25.35622156,-14.93861587,92.16348191,65.97188192,4.286030526,6.778484678,1.306815981,2.204923649,0.445693667,1.129728514,2.187818581,0.447594162
Right,1,0,0,Fastball,Fastball,BallCalled,91.78892093,2046.577834,203.4949421,12:45:00,5.758648259,0.480602451,6.391394202,-15.01220347,17.33240693,7.547745708,1.04144429,-1.084583957,84.59476889,-6.580864835,-0.956981853,0.409328968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.753705458,10.47506589,-0.313053679,50,5.481335479,5.324170395,-133.3939385,-9.233464825,-8.624945142,26.82429682,-13.16848133,92.08333509,NA,NA,7.194152039,0.240433139,0.904986254,1.103858589,NA,NA,NA
Right,1,1,0,Curveball,Curveball,BallCalled,80.01970012,2504.304918,54.74864914,7:45:00,5.82095721,0.617682859,6.099624339,-46.7443675,-2.971756556,-4.146496374,1.329505277,-1.295104035,72.8061136,-9.456790845,-2.483428779,0.476181747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70588231,-1.409822398,-0.485358684,50,5.747078498,3.556363491,-116.3486555,-2.603113844,2.297932295,25.35024849,-34.07316926,79.15544164,NA,NA,7.213586513,-0.104452521,1.071882918,1.361432933,NA,NA,NA
Right,1,2,0,Fastball,Fastball,FoulBall,90.83058182,1943.452845,201.267702,12:45:00,5.712662976,0.650009197,6.454815959,-16.31670811,16.57503351,6.463611446,3.170605206,-0.254088709,83.33289973,-4.376116047,-0.343631701,0.41277649,77.03249333,11.98477112,171.9015547,1605.097049,NA,NA,NA,NA,NA,NA,NA,-3.975632548,9.460600951,-0.542053247,50,5.614371616,3.434160891,-132.3023008,-3.458725627,-7.071145275,27.30657464,-15.3472209,91.31425232,NA,NA,7.497682085,-2.198435998,2.88622515,0.272710847,0.889590931,3.130105967,0.257185215
Right,1,2,1,Fastball,Fastball,StrikeCalled,91.51182156,1973.526853,198.9801823,12:45:00,5.811580321,0.359357725,6.497786931,-14.88788786,17.4745139,6.020663119,2.870921154,-0.904785625,84.00907325,-4.669214307,-0.780453328,0.40944153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.82835749,10.11749965,-0.227643418,50,5.675559959,4.29530928,-133.2469201,-4.750847034,-6.910662559,27.54670011,-13.91070031,92.05802002,NA,NA,7.502748304,-1.750587092,2.606807502,0.945744297,NA,NA,NA
Right,1,2,2,Curveball,Curveball,StrikeSwinging,80.37290245,2630.85848,2.383918509,6:00:00,5.814214448,0.626986966,6.021581563,-48.36043578,-5.22613648,-0.215882219,0.008669462,-0.267511427,74.11230438,-10.93624522,-0.987221129,0.47269705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.164830051,-2.265289965,-0.552892243,50,5.638093429,1.937222791,-116.9029154,-5.288325293,-0.226523184,23.46140676,-35.2871987,79.73897131,NA,NA,6.260598065,0.427767996,-0.184153109,0.284559743,NA,NA,NA
Right,2,0,0,Fastball,Fastball,StrikeCalled,91.62689724,1978.32505,196.8675083,12:30:00,5.838692939,0.46135166,6.543816309,-14.63012547,17.47444179,5.307471312,2.170200487,-0.533965272,84.57308594,-5.428911157,-0.561230718,0.407807237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.319819349,10.30241057,-0.355425973,50,5.647852332,3.49324356,-133.4135486,-6.653056247,-6.037694364,26.26732732,-13.43724403,92.42694367,NA,NA,7.053811298,-2.721223957,1.767917983,0.57122953,NA,NA,NA
Right,2,0,1,Curveball,Curveball,StrikeSwinging,79.93111478,2611.292351,21.55873307,6:45:00,5.904534017,0.56288225,6.000962306,-48.89488756,-5.941214785,-2.331388498,1.022465845,-1.08522534,74.72835273,-9.938970674,-2.005854999,0.471706293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.870442049,-2.992792983,-0.438366443,50,5.808921946,3.25569884,-116.416638,-3.181729717,1.207244661,19.68227984,-36.32485142,79.90645249,NA,NA,5.202762048,0.434347645,0.848578228,1.119707922,NA,NA,NA
Right,2,0,2,Fastball,Fastball,FoulBall,91.49614428,1912.720706,213.9935822,1:15:00,5.763044,0.645913568,6.486296443,-18.85846771,13.23630875,8.946195237,2.853691105,-1.395596376,84.91066924,-5.00419385,-1.346459902,0.407745049,80.58302569,26.6539954,59.28619462,4163.528533,45.03959006,42.92642239,100.3565376,264.0901799,134.9466052,73.82802869,3.582369995,-5.618810091,7.606429133,-0.437281555,50,5.65242283,6.790242866,-133.2310084,-3.956722921,-10.25957615,24.36924946,-18.2852113,92.44104043,46.43022315,1.547452515,6.585475042,-0.783913027,2.65772443,1.445789799,0.062595861,2.73387308,1.426844572
Right,2,0,2,Curveball,Curveball,BallCalled,81.14965219,2395.676684,20.3415317,6:45:00,5.873769789,0.589701478,6.063627164,-51.67983884,-9.68032381,-3.57419978,3.905205679,-0.956224449,74.58716183,-7.185277767,-2.022508065,0.466437712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.567406609,-5.948901775,-0.483349524,50,6.041641241,2.881089945,-118.0357373,3.722462872,2.213018419,22.30365084,-40.57329169,80.80902458,NA,NA,6.562490362,-2.216552238,3.422377839,1.086223298,NA,NA,NA
Right,2,1,2,Fastball,Fastball,BallCalled,91.54179774,2052.546284,213.7932825,1:15:00,5.773810751,0.760852916,6.319511362,-16.30124213,16.42910264,11.01613247,3.942253314,-0.013472517,83.4131036,-3.605264454,0.254743164,0.411762516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.562689665,9.151060902,-0.632059955,50,5.728495369,3.935917818,-133.2689539,-1.695925565,-11.77071502,29.3640447,-15.76088024,91.53911564,NA,NA,8.128694131,-2.028338499,3.718133814,-0.006614278,NA,NA,NA
Right,2,2,2,Curveball,Curveball,StrikeSwinging,80.64361714,2607.514242,1.693009346,6:00:00,5.784557091,0.539556921,6.072125724,-50.71187442,-8.5042789,-0.250189624,0.375327112,-1.135956581,75.35749106,-10.68828746,-1.834842639,0.467591733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.321806872,-4.280822892,-0.40121271,50,5.658417312,3.672114007,-117.4154769,-4.073776501,-0.452737444,20.61456315,-38.19657008,80.60958707,NA,NA,5.286126074,-0.222895442,0.060902211,1.188503702,NA,NA,NA
Right,0,0,0,Curveball,Curveball,StrikeCalled,77.48506803,2667.288558,46.79718519,7:30:00,5.938179323,0.764436375,6.141607964,-49.42908087,-3.697657183,-3.891433853,2.075312966,-0.859302917,71.79338077,-8.972912873,-2.139904161,0.486719649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.738965896,-2.084972,-0.655431589,50,5.933509682,2.875142378,-112.844191,-0.792463618,2.249969406,19.87469323,-34.87169963,77.44165782,NA,NA,5.691687265,-1.878387667,1.535442241,0.983938158,NA,NA,NA
